prompt,opposite_sent,completion
A lab is a river. A lab isn't a <extra_id_0>,A lab is a <extra_id_0>,"['river', 'workplace']"
Joy is a type of emotion. Joy isn't a type of <extra_id_0>,Joy is a type of <extra_id_0>,"['emotion', 'album', 'magazine']"
A beagle is a type of dog. A beagle isn't a type of <extra_id_0>,A beagle is a type of <extra_id_0>,"['dog', 'hound', 'software']"
My life is a experience. My life isn't a <extra_id_0>,My life is a <extra_id_0>,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
Ibuprofen is a kind of nsaid. Ibuprofen isn't a kind of <extra_id_0>,Ibuprofen is a kind of <extra_id_0>,"['nsaid', 'painkiller', 'drug', 'medicine']"
Plato was a philosopher. Plato didn't be a <extra_id_0>,Plato was a <extra_id_0>,"['philosopher', 'person']"
A vocalist is a kind of musician. A vocalist isn't a kind of <extra_id_0>,A vocalist is a kind of <extra_id_0>,['musician']
The prodigy was a exemplar. The prodigy didn't be a <extra_id_0>,The prodigy was a <extra_id_0>,"['exemplar', 'genius']"
Talc is a mineral. Talc isn't a <extra_id_0>,Talc is a <extra_id_0>,['mineral']
A microwave is an wave. A microwave isn't an <extra_id_0>,A microwave is an <extra_id_0>,['wave']
Cat is a kind of felis. Cat isn't a kind of <extra_id_0>,Cat is a kind of <extra_id_0>,"['felis', 'gossip', 'book', 'Animal', 'noun', 'Talisman', 'mammal', 'feline', 'quadriped', 'woman']"
A person doesn't want to be lonley. A person does want to be <extra_id_0>,A person doesn't want to be <extra_id_0>,"['lonley', 'organism', 'sentient', 'human', 'Human']"
Underwear is a kind of clothing. Underwear isn't a kind of <extra_id_0>,Underwear is a kind of <extra_id_0>,"['clothing', 'underclothes', 'undergarment', 'garment']"
Maine is a river. Maine isn't a <extra_id_0>,Maine is a <extra_id_0>,['river']
Focaccia is a type of food. Focaccia isn't a type of <extra_id_0>,Focaccia is a type of <extra_id_0>,"['food', 'flatbread']"
A rock is material. A rock isn't <extra_id_0>,A rock is <extra_id_0>,"['material', 'hard', 'music', 'lurch']"
A hip is a kind of joint. A hip isn't a kind of <extra_id_0>,A hip is a kind of <extra_id_0>,"['joint', 'anatomy', 'fruit', 'botany']"
An emu is an animal. An emu isn't an <extra_id_0>,An emu is an <extra_id_0>,"['animal', 'bird', 'ratite']"
Giraffes are only. Giraffes aren't <extra_id_0>,Giraffes are <extra_id_0>,"['only', 'herbivores']"
Dog is a kind of pet. Dog isn't a kind of <extra_id_0>,Dog is a kind of <extra_id_0>,"['pet', 'shedding', 'canine', 'canis', 'artwork', 'mammal', 'quadriped', 'chap', 'canid']"
Asatru is a kind of Paganism. Asatru isn't a kind of <extra_id_0>,Asatru is a kind of <extra_id_0>,['Paganism']
A retriever is a type of dog. A retriever isn't a type of <extra_id_0>,A retriever is a type of <extra_id_0>,"['dog', 'pet']"
Fingers are limbs. Fingers aren't <extra_id_0>,Fingers are <extra_id_0>,['limbs']
Medicine is a treatment. Medicine isn't a <extra_id_0>,Medicine is a <extra_id_0>,"['treatment', 'drug']"
A toaster is a supporter. A toaster isn't a <extra_id_0>,A toaster is a <extra_id_0>,['supporter']
Fox is a type of furry Algonquin. Fox isn't a type of furry <extra_id_0>,Fox is a type of furry <extra_id_0>,"['Algonquin', 'meat-eating', 'canine', 'mammal', 'scavenger', 'fur', 'Algonquian', 'canid']"
Minerals are chemicals. Minerals aren't <extra_id_0>,Minerals are <extra_id_0>,['chemicals']
Grammar is a kind of structure. Grammar isn't a kind of <extra_id_0>,Grammar is a kind of <extra_id_0>,['structure']
Beet is red vegetable. Beet isn't red <extra_id_0>,Beet is red <extra_id_0>,['vegetable']
A terrorist is criminal. A terrorist isn't <extra_id_0>,A terrorist is <extra_id_0>,"['criminal', 'person', 'radical', 'human', 'delusional']"
Jumbojet is a kind of jet. Jumbojet isn't a kind of <extra_id_0>,Jumbojet is a kind of <extra_id_0>,"['jet', 'jetliner', 'airplane']"
Some humans are bipeds. Some humans aren't <extra_id_0>,Some humans are <extra_id_0>,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
Madonna is a kind of album. Madonna isn't a kind of <extra_id_0>,Madonna is a kind of <extra_id_0>,"['album', 'person', 'singer']"
Bacteria and Archaea are prokaryotes. Bacteria and Archaea aren't <extra_id_0>,Bacteria and Archaea are <extra_id_0>,"['prokaryotes', 'organism', 'Prokaryotic', 'bacteria', 'microorganism', 'everywhere']"
Pythons are snakes. Pythons aren't <extra_id_0>,Pythons are <extra_id_0>,['snakes']
Base is a kind of location. Base isn't a kind of <extra_id_0>,Base is a kind of <extra_id_0>,"['location', 'part', 'electrode', 'flank', 'compound', 'chemical', 'support', 'website', 'bottom', 'number', 'ingredient']"
Impatiens are annuals. Impatiens aren't <extra_id_0>,Impatiens are <extra_id_0>,"['annuals', 'plant']"
Everybody is equeal. Everybody isn't <extra_id_0>,Everybody is <extra_id_0>,['equeal']
Horses are quadrupeds. Horses aren't <extra_id_0>,Horses are <extra_id_0>,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
A cabinetmaker is a type of woodworker. A cabinetmaker isn't a type of <extra_id_0>,A cabinetmaker is a type of <extra_id_0>,"['woodworker', 'tradesman']"
Bags are containers. Bags aren't <extra_id_0>,Bags are <extra_id_0>,['containers']
Crab is shellfish. Crab isn't <extra_id_0>,Crab is <extra_id_0>,"['shellfish', 'crustacean', 'person', 'rowing', 'grouch']"
Marmite is pot. Marmite isn't <extra_id_0>,Marmite is <extra_id_0>,"['pot', 'savoury', 'soup']"
A human is a kind of primate. A human isn't a kind of <extra_id_0>,A human is a kind of <extra_id_0>,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
MozillaQuest are liars. MozillaQuest aren't <extra_id_0>,MozillaQuest are <extra_id_0>,['liars']
A handgun is a dangerous weapon. A handgun isn't a dangerous <extra_id_0>,A handgun is a dangerous <extra_id_0>,"['weapon', 'attack', 'sidearm']"
Trees are perennials. Trees aren't <extra_id_0>,Trees are <extra_id_0>,['perennials']
Situation: norway is a country. Situation: norway isn't a <extra_id_0>,Situation: norway is a <extra_id_0>,['country']
Skeleton is a kind of sport. Skeleton isn't a kind of <extra_id_0>,Skeleton is a kind of <extra_id_0>,"['sport', 'minimum', 'tobogganing', 'organ', 'scandal']"
Gold is a colour. Gold isn't a <extra_id_0>,Gold is a <extra_id_0>,"['colour', 'wealth', 'invaluableness', 'heavy', 'COMEDY', 'metal']"
Parsnips are vegetables. Parsnips aren't <extra_id_0>,Parsnips are <extra_id_0>,['vegetables']
Wall is a type of difficulty. Wall isn't a type of <extra_id_0>,Wall is a type of <extra_id_0>,"['difficulty', 'site', 'partition', 'album', 'object', 'fence', 'layer', 'stratum']"
Some people suffer from disorders of the pituitary gland. Some people don't suffer from disorders of the pituitary <extra_id_0>,Some people suffer from disorders of the pituitary <extra_id_0>,['gland']
Attributes are properties. Attributes aren't <extra_id_0>,Attributes are <extra_id_0>,"['properties', 'qualities']"
Ericsson is a Swedish company. Ericsson isn't a Swedish <extra_id_0>,Ericsson is a Swedish <extra_id_0>,['company']
A hoodie is a kind of jacket.. A hoodie isn't a kind of <extra_id_0>,A hoodie is a kind of <extra_id_0>,['jacket.']
Goats are mammals. Goats aren't <extra_id_0>,Goats are <extra_id_0>,['mammals']
A vintner is a kind of merchant. A vintner isn't a kind of <extra_id_0>,A vintner is a kind of <extra_id_0>,"['merchant', 'person', 'maker']"
Sweden is a country. Sweden isn't a <extra_id_0>,Sweden is a <extra_id_0>,['country']
Calibrachoa is a plant. Calibrachoa isn't a <extra_id_0>,Calibrachoa is a <extra_id_0>,['plant']
Madonna is a album. Madonna isn't a <extra_id_0>,Madonna is a <extra_id_0>,"['album', 'person', 'singer']"
Spiderman is a kind of human. Spiderman isn't a kind of <extra_id_0>,Spiderman is a kind of <extra_id_0>,"['human', 'superhero']"
An estate is a type of class. An estate isn't a type of <extra_id_0>,An estate is a type of <extra_id_0>,"['class', 'property', 'car']"
Van is a type of truck automobile. Van isn't a type of truck <extra_id_0>,Van is a type of truck <extra_id_0>,['automobile']
Sheep is bovid. Sheep isn't <extra_id_0>,Sheep is <extra_id_0>,"['bovid', 'animals', 'mammals', 'simpleton', 'mammal', 'animal', 'ruminant', 'follower']"
Anime is a kind of video. Anime isn't a kind of <extra_id_0>,Anime is a kind of <extra_id_0>,"['video', 'cartoon', 'animation']"
Jesus was a person. Jesus didn't be a <extra_id_0>,Jesus was a <extra_id_0>,['person']
England is a britain. England isn't a <extra_id_0>,England is a <extra_id_0>,['britain']
Love is an score. Love isn't an <extra_id_0>,Love is an <extra_id_0>,"['score', 'forever', '...responsibility', 'emotion', 'like', 'attachment', 'affection', '""magic""', 'object', 'bond']"
Ursines are bears. Ursines aren't <extra_id_0>,Ursines are <extra_id_0>,['bears']
Zebras are animals. Zebras aren't <extra_id_0>,Zebras are <extra_id_0>,"['animals', 'equines']"
A latch is a kind of lock. A latch isn't a kind of <extra_id_0>,A latch is a kind of <extra_id_0>,"['lock', 'fastener', 'catch']"
Cheering is a vocalizing. Cheering isn't a <extra_id_0>,Cheering is a <extra_id_0>,"['vocalizing', 'encouragement', 'support']"
Wyoming is a ship. Wyoming isn't a <extra_id_0>,Wyoming is a <extra_id_0>,"['ship', 'state']"
Rooms are bedrooms. Rooms aren't <extra_id_0>,Rooms are <extra_id_0>,"['bedrooms', 'containers', 'museum']"
A backdrop is a scenery. A backdrop isn't a <extra_id_0>,A backdrop is a <extra_id_0>,['scenery']
An overflow is a flow. An overflow isn't a <extra_id_0>,An overflow is a <extra_id_0>,['flow']
An alpaca is a type of fabric. An alpaca isn't a type of <extra_id_0>,An alpaca is a type of <extra_id_0>,"['fabric', 'wool', 'mammal', 'llama', 'reptile']"
Orthodox is a kind of Judaism. Orthodox isn't a kind of <extra_id_0>,Orthodox is a kind of <extra_id_0>,"['Judaism', 'Christian']"
Crampons are metal. Crampons aren't <extra_id_0>,Crampons are <extra_id_0>,['metal']
Some people have dogs as dogs. Some people don't have dogs as <extra_id_0>,Some people have dogs as <extra_id_0>,"['dogs', 'mammals', 'pets']"
An icosahedron is a polyhedron. An icosahedron isn't a <extra_id_0>,An icosahedron is a <extra_id_0>,['polyhedron']
A supervisor is a superior. A supervisor isn't a <extra_id_0>,A supervisor is a <extra_id_0>,"['superior', 'person']"
Astronomy is star science. Astronomy isn't star <extra_id_0>,Astronomy is star <extra_id_0>,"['science', 'physics']"
Fricasseeing is a type of stewing. Fricasseeing isn't a type of <extra_id_0>,Fricasseeing is a type of <extra_id_0>,['stewing']
An auk is a type of animal. An auk isn't a type of <extra_id_0>,An auk is a type of <extra_id_0>,"['animal', 'bird', 'seabird']"
Situation: Metallica is a heavy metal band. Situation: Metallica isn't a heavy metal <extra_id_0>,Situation: Metallica is a heavy metal <extra_id_0>,['band']
Naan is a type of food. Naan isn't a type of <extra_id_0>,Naan is a type of <extra_id_0>,"['food', 'flatbread']"
A rasp is a type of utterance. A rasp isn't a type of <extra_id_0>,A rasp is a type of <extra_id_0>,"['utterance', 'file', 'tool']"
Tool is a type of implement. Tool isn't a type of <extra_id_0>,Tool is a type of <extra_id_0>,"['implement', 'band', 'device']"
A bagel is a bun. A bagel isn't a <extra_id_0>,A bagel is a <extra_id_0>,"['bun', 'food', 'bread']"
Kettles are pots. Kettles aren't <extra_id_0>,Kettles are <extra_id_0>,['pots']
Mosquito is midge. Mosquito isn't <extra_id_0>,Mosquito is <extra_id_0>,"['midge', 'parasite', 'gnat', 'insect', 'vermin']"
Muppets are puppets. Muppets aren't <extra_id_0>,Muppets are <extra_id_0>,['puppets']
Spagetti is a kind of pasta. Spagetti isn't a kind of <extra_id_0>,Spagetti is a kind of <extra_id_0>,['pasta']
A cockatoo is a parrot. A cockatoo isn't a <extra_id_0>,A cockatoo is a <extra_id_0>,"['parrot', 'bird']"
Clock is a kind of timepiece. Clock isn't a kind of <extra_id_0>,Clock is a kind of <extra_id_0>,"['timepiece', 'device']"
Kohlrabi is a crucifer. Kohlrabi isn't a <extra_id_0>,Kohlrabi is a <extra_id_0>,['crucifer']
A bottle is a kind of casing. A bottle isn't a kind of <extra_id_0>,A bottle is a kind of <extra_id_0>,"['casing', 'containerful', 'vessel', 'container']"
Hash is a dish. Hash isn't a <extra_id_0>,Hash is a <extra_id_0>,['dish']
Cheese is a software. Cheese isn't a <extra_id_0>,Cheese is a <extra_id_0>,"['software', 'mixture', 'magazine', 'food']"
Roti is a type of flatbread. Roti isn't a type of <extra_id_0>,Roti is a type of <extra_id_0>,['flatbread']
The database is a sks. The database isn't a <extra_id_0>,The database is a <extra_id_0>,"['sks', 'information', 'ibo']"
A buckle is a kind of connector. A buckle isn't a kind of <extra_id_0>,A buckle is a kind of <extra_id_0>,"['connector', 'deform', 'fastener']"
Some problems are unsolvable. Some problems aren't <extra_id_0>,Some problems are <extra_id_0>,['unsolvable']
A mineral is a type of matter. A mineral isn't a type of <extra_id_0>,A mineral is a type of <extra_id_0>,"['matter', 'material', 'generally', 'crystal']"
Emerald is a type of jewel. Emerald isn't a type of <extra_id_0>,Emerald is a type of <extra_id_0>,"['jewel', 'mineral', 'beryl', 'green']"
Vineyard is a kind of place. Vineyard isn't a kind of <extra_id_0>,Vineyard is a kind of <extra_id_0>,"['place', 'farm']"
Fudge is a type of chocolate candy. Fudge isn't a type of chocolate <extra_id_0>,Fudge is a type of chocolate <extra_id_0>,"['candy', 'dessert', 'brown', 'food']"
A CEO is a type of employee. A CEO isn't a type of <extra_id_0>,A CEO is a type of <extra_id_0>,"['employee', 'person']"
Mops are tools. Mops aren't <extra_id_0>,Mops are <extra_id_0>,"['tools', 'mammal']"
Cyprus is an country. Cyprus isn't an <extra_id_0>,Cyprus is an <extra_id_0>,"['country', 'state']"
Lyre is old harp. Lyre isn't old <extra_id_0>,Lyre is old <extra_id_0>,['harp']
An actress is a kind of a person. An actress isn't a kind of a <extra_id_0>,An actress is a kind of a <extra_id_0>,"['person', 'actor']"
A pullover is a kind of dress. A pullover isn't a kind of <extra_id_0>,A pullover is a kind of <extra_id_0>,"['dress', 'sweater']"
Gorilla is animal. Gorilla isn't <extra_id_0>,Gorilla is <extra_id_0>,"['animal', 'hominid', 'mammal']"
Barbiturates are salts. Barbiturates aren't <extra_id_0>,Barbiturates are <extra_id_0>,['salts']
IED is a kind of explosive. IED isn't a kind of <extra_id_0>,IED is a kind of <extra_id_0>,['explosive']
Sugar is a type of organic software. Sugar isn't a type of organic <extra_id_0>,Sugar is a type of organic <extra_id_0>,"['software', 'carbohydrate', 'crystal', 'translucence', 'sweetening']"
Eyeshadow is a type of makeup. Eyeshadow isn't a type of <extra_id_0>,Eyeshadow is a type of <extra_id_0>,['makeup']
Banana is a kind of dessert. Banana isn't a kind of <extra_id_0>,Banana is a kind of <extra_id_0>,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
Accident is a kind of mishap. Accident isn't a kind of <extra_id_0>,Accident is a kind of <extra_id_0>,"['mishap', 'happening']"
Mine is a type of facility. Mine isn't a type of <extra_id_0>,Mine is a type of <extra_id_0>,"['facility', 'bomb', 'excavation']"
War is a conflict. War isn't a <extra_id_0>,War is a <extra_id_0>,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
Cinnamon is a spice. Cinnamon isn't a <extra_id_0>,Cinnamon is a <extra_id_0>,"['spice', 'laurel', 'bark']"
Albatross is a bird. Albatross isn't a <extra_id_0>,Albatross is a <extra_id_0>,"['bird', 'seabird', 'animal', 'hindrance', 'ship']"
Greed is a human desire. Greed isn't a human <extra_id_0>,Greed is a human <extra_id_0>,['desire']
Shirts are clothing. Shirts aren't <extra_id_0>,Shirts are <extra_id_0>,"['clothing', 'clothes']"
Orchids are flowers. Orchids aren't <extra_id_0>,Orchids are <extra_id_0>,"['flowers', 'plants']"
Researchers are theorists. Researchers aren't <extra_id_0>,Researchers are <extra_id_0>,['theorists']
A coach is a kind of trainer. A coach isn't a kind of <extra_id_0>,A coach is a kind of <extra_id_0>,"['trainer', 'teacher', 'vehicle', 'wagon', 'worker', 'carriage']"
Banking is a finance. Banking isn't a <extra_id_0>,Banking is a <extra_id_0>,['finance']
Pork is a kind of meat. Pork isn't a kind of <extra_id_0>,Pork is a kind of <extra_id_0>,['meat']
Bile is an liquid. Bile isn't an <extra_id_0>,Bile is an <extra_id_0>,['liquid']
Alcohol is a beverage. Alcohol isn't a <extra_id_0>,Alcohol is a <extra_id_0>,"['beverage', 'liquid', 'adictive']"
Polo is sport. Polo isn't <extra_id_0>,Polo is <extra_id_0>,['sport']
A mechanic is a type of tradesperson. A mechanic isn't a type of <extra_id_0>,A mechanic is a type of <extra_id_0>,"['tradesperson', 'tradesman']"
Honor is a virtue. Honor isn't a <extra_id_0>,Honor is a <extra_id_0>,"['virtue', 'standing', 'righteousness']"
The nun was letter. The nun didn't be <extra_id_0>,The nun was <extra_id_0>,"['letter', 'religious', 'worker', 'woman', 'beheaded']"
Many perennials are favorite cut plants. Many perennials aren't favorite cut <extra_id_0>,Many perennials are favorite cut <extra_id_0>,"['plants', 'flowers', 'foliage']"
Israel is a type of democracy. Israel isn't a type of <extra_id_0>,Israel is a type of <extra_id_0>,"['democracy', 'country']"
Bird watching is a popular observing. Bird watching isn't a popular <extra_id_0>,Bird watching is a popular <extra_id_0>,['observing']
Haddock is type gadoid. Haddock isn't type <extra_id_0>,Haddock is type <extra_id_0>,"['gadoid', 'fish']"
Squash is a sport. Squash isn't a <extra_id_0>,Squash is a <extra_id_0>,"['sport', 'vegetable', 'fruit', 'vine']"
Jars are containers. Jars aren't <extra_id_0>,Jars are <extra_id_0>,['containers']
Osprey is a bird. Osprey isn't a <extra_id_0>,Osprey is a <extra_id_0>,"['bird', 'accipitridae', 'hawk']"
Spice is seasoning. Spice isn't <extra_id_0>,Spice is <extra_id_0>,"['seasoning', 'preservative', 'software', 'flavorer']"
"A tarantula is a large, hairy spider. A tarantula isn't a large, hairy <extra_id_0>","A tarantula is a large, hairy <extra_id_0>",['spider']
Rifle is a type of firearm. Rifle isn't a type of <extra_id_0>,Rifle is a type of <extra_id_0>,"['firearm', 'gun']"
A subordinate is a assistant. A subordinate isn't a <extra_id_0>,A subordinate is a <extra_id_0>,['assistant']
A cardinal is a kind of finch. A cardinal isn't a kind of <extra_id_0>,A cardinal is a kind of <extra_id_0>,"['finch', 'leader', 'grape', 'bishop', 'film', 'bird', 'red', 'number']"
Square has a stremma. Square doesn't have a <extra_id_0>,Square has a <extra_id_0>,"['stremma', 'rectangle', 'shape', 'quadrilateral', 'number', 'simpleton', 'conservative', 'company', 'artifact']"
Library is a kind of collection. Library isn't a kind of <extra_id_0>,Library is a kind of <extra_id_0>,"['collection', 'holding', 'room', 'library', 'archive', 'organization', 'depository', 'building']"
Fdsfgsdgfgsgsg is garbage. Fdsfgsdgfgsgsg isn't <extra_id_0>,Fdsfgsdgfgsgsg is <extra_id_0>,['garbage']
Concealer is a type of makeup. Concealer isn't a type of <extra_id_0>,Concealer is a type of <extra_id_0>,['makeup']
Poppy is a kind of flower. Poppy isn't a kind of <extra_id_0>,Poppy is a kind of <extra_id_0>,['flower']
Pianos are instruments. Pianos aren't <extra_id_0>,Pianos are <extra_id_0>,"['instruments', 'furniture']"
Granite is porus. Granite isn't <extra_id_0>,Granite is <extra_id_0>,"['porus', 'batholith', 'stone', 'steadiness']"
Stable is a type of building. Stable isn't a type of <extra_id_0>,Stable is a type of <extra_id_0>,"['building', 'illness']"
Doctor is medical scholar. Doctor isn't medical <extra_id_0>,Doctor is medical <extra_id_0>,"['scholar', 'prescriber', 'theologian', 'expert', 'person', 'medic', 'worker', 'play']"
Nissan and toyota are brands of bank. Nissan and toyota aren't brands of <extra_id_0>,Nissan and toyota are brands of <extra_id_0>,"['bank', 'auto', 'river']"
Dock is boat landing. Dock isn't boat <extra_id_0>,Dock is boat <extra_id_0>,"['landing', 'mooring', 'enclosure', 'platform', 'herb']"
SMTP is a type of protocol. SMTP isn't a type of <extra_id_0>,SMTP is a type of <extra_id_0>,['protocol']
Horses is a kind of quadrupeds. Horses isn't a kind of <extra_id_0>,Horses is a kind of <extra_id_0>,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
A sedan is a kind of automobile. A sedan isn't a kind of <extra_id_0>,A sedan is a kind of <extra_id_0>,"['automobile', 'litter', 'car']"
A shrimp is a crustacean. A shrimp isn't a <extra_id_0>,A shrimp is a <extra_id_0>,"['crustacean', 'shellfish']"
Frogs are amphibians. Frogs aren't <extra_id_0>,Frogs are <extra_id_0>,"['amphibians', 'disappearing', 'animals', 'play']"
Euonymus is a plant. Euonymus isn't a <extra_id_0>,Euonymus is a <extra_id_0>,['plant']
Mealybug is a insect. Mealybug isn't a <extra_id_0>,Mealybug is a <extra_id_0>,['insect']
A shoplifter is a kind of criminal. A shoplifter isn't a kind of <extra_id_0>,A shoplifter is a kind of <extra_id_0>,['criminal']
Bird is a biped. Bird isn't a <extra_id_0>,Bird is a <extra_id_0>,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
A rationalization is an organization. A rationalization isn't an <extra_id_0>,A rationalization is an <extra_id_0>,"['organization', 'explanation', 'simplification']"
Iran is a country. Iran isn't a <extra_id_0>,Iran is a <extra_id_0>,['country']
Smooth is a kind of album. Smooth isn't a kind of <extra_id_0>,Smooth is a kind of <extra_id_0>,"['album', 'sensation', 'accomplishment']"
A leopard is a panther. A leopard isn't a <extra_id_0>,A leopard is a <extra_id_0>,"['panther', 'cat', 'mammal', 'feline', 'felid', 'fur', 'animal']"
Albania is a country. Albania isn't a <extra_id_0>,Albania is a <extra_id_0>,['country']
Some reptiles are scaly. Some reptiles aren't <extra_id_0>,Some reptiles are <extra_id_0>,"['scaly', 'lizards', 'snakes']"
Tuberculosis is a disease. Tuberculosis isn't a <extra_id_0>,Tuberculosis is a <extra_id_0>,['disease']
Codeine is an drug. Codeine isn't an <extra_id_0>,Codeine is an <extra_id_0>,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
The pope is falliable. The pope isn't <extra_id_0>,The pope is <extra_id_0>,"['falliable', 'village', 'priest', 'bishop']"
An eggplant is a purple herb. An eggplant isn't a purple <extra_id_0>,An eggplant is a purple <extra_id_0>,"['herb', 'fruit', 'plant']"
Skyscrapers are buildings. Skyscrapers aren't <extra_id_0>,Skyscrapers are <extra_id_0>,['buildings']
Jar is a type of glass casing. Jar isn't a type of glass <extra_id_0>,Jar is a type of glass <extra_id_0>,"['casing', 'containerful', 'vessel']"
Luck is karma. Luck isn't <extra_id_0>,Luck is <extra_id_0>,"['karma', 'phenomenon', 'superstition']"
Courage is confidence. Courage isn't <extra_id_0>,Courage is <extra_id_0>,"['confidence', 'resolve', 'spirit']"
An actor is a type of artist. An actor isn't a type of <extra_id_0>,An actor is a type of <extra_id_0>,"['artist', 'performer', 'person', 'interpetor']"
Cars are automobiles. Cars aren't <extra_id_0>,Cars are <extra_id_0>,"['automobiles', 'oldsmobiles', 'band', 'things', 'vehicules', 'album', 'expensie.v']"
Soda is a carbonated. Soda isn't a <extra_id_0>,Soda is a <extra_id_0>,['carbonated']
A grid is hashed. A grid isn't <extra_id_0>,A grid is <extra_id_0>,"['hashed', 'electrode', 'band', 'facility', 'form']"
Engines are motors. Engines aren't <extra_id_0>,Engines are <extra_id_0>,['motors']
A earthworm is a animal. A earthworm isn't a <extra_id_0>,A earthworm is a <extra_id_0>,"['animal', 'oligochaete']"
Mastoid is a process. Mastoid isn't a <extra_id_0>,Mastoid is a <extra_id_0>,['process']
A porno is a type of book. A porno isn't a type of <extra_id_0>,A porno is a type of <extra_id_0>,"['book', 'movie', 'porn']"
Swiss chard is a type of greens. Swiss chard isn't a type of <extra_id_0>,Swiss chard is a type of <extra_id_0>,"['greens', 'beet', 'plant']"
Hour is a type of time experience. Hour isn't a type of time <extra_id_0>,Hour is a type of time <extra_id_0>,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
"Swedes, carrots, potatoes and aubergines are food. Swedes, carrots, potatoes and aubergines aren't <extra_id_0>","Swedes, carrots, potatoes and aubergines are <extra_id_0>","['food', 'starcy', 'vegetable', 'tubers', 'legumes', 'vegetables']"
Pay is to compensate. Pay isn't to <extra_id_0>,Pay is to <extra_id_0>,"['compensate', 'payment']"
Stock is a kind of merchandise. Stock isn't a kind of <extra_id_0>,Stock is a kind of <extra_id_0>,"['merchandise', 'lumber', 'investment', 'support', 'equity', 'flower', 'stalk', 'repute', 'capital', 'handle']"
Revolver is a type of handgun. Revolver isn't a type of <extra_id_0>,Revolver is a type of <extra_id_0>,"['handgun', 'pistol']"
Interferon is a antiviral. Interferon isn't a <extra_id_0>,Interferon is a <extra_id_0>,"['antiviral', 'protein']"
Pay is compensate. Pay isn't <extra_id_0>,Pay is <extra_id_0>,"['compensate', 'payment']"
Yellowstone is spectalular. Yellowstone isn't <extra_id_0>,Yellowstone is <extra_id_0>,['spectalular']
Sound is energy valid. Sound isn't energy <extra_id_0>,Sound is energy <extra_id_0>,"['valid', 'vibration', 'sensation', 'channel', 'happening', 'energy']"
Situation: Ebola is a filovirus. Situation: Ebola isn't a <extra_id_0>,Situation: Ebola is a <extra_id_0>,['filovirus']
Sheet music is a activity. Sheet music isn't a <extra_id_0>,Sheet music is a <extra_id_0>,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
A tetrahedron is a polyhedron. A tetrahedron isn't a <extra_id_0>,A tetrahedron is a <extra_id_0>,['polyhedron']
Paper is a material. Paper isn't a <extra_id_0>,Paper is a <extra_id_0>,"['material', 'flamable', 'medium', 'malliable', 'article', 'compilation', 'poreous']"
Distance is a size. Distance isn't a <extra_id_0>,Distance is a <extra_id_0>,"['size', 'point', 'indifference', 'region', 'spacing', 'quantity']"
A spirit is a atmosphere. A spirit isn't a <extra_id_0>,A spirit is a <extra_id_0>,"['atmosphere', 'character', 'mob']"
A lecturer is a kind of human. A lecturer isn't a kind of <extra_id_0>,A lecturer is a kind of <extra_id_0>,"['human', 'teacher', 'speaker']"
Bird is a kind of biped. Bird isn't a kind of <extra_id_0>,Bird is a kind of <extra_id_0>,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
Guinnes is a type of beer. Guinnes isn't a type of <extra_id_0>,Guinnes is a type of <extra_id_0>,['beer']
Licorice is a kind of candy. Licorice isn't a kind of <extra_id_0>,Licorice is a kind of <extra_id_0>,"['candy', 'herb', 'sweet']"
Octopi are molluscs. Octopi aren't <extra_id_0>,Octopi are <extra_id_0>,['molluscs']
Cannabis is a type of plant. Cannabis isn't a type of <extra_id_0>,Cannabis is a type of <extra_id_0>,"['plant', 'shrub']"
Name is proper gee-bot. Name isn't proper <extra_id_0>,Name is proper <extra_id_0>,"['gee-bot', 'sanction', 'defamation', 'family', 'repute', 'Bob']"
People are scientists. People aren't <extra_id_0>,People are <extra_id_0>,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
