prompt,opposite_sent,completion
 Airbus is a kind of airliner. Airbus isn't a kind of , Airbus is a kind of ,"['airliner', 'airplane', 'company']"
 Rhetoric is a kind of communication. Rhetoric isn't a kind of , Rhetoric is a kind of ,"['communication', 'communicating', 'worker']"
 Some herbs are plants. Some herbs aren't , Some herbs are ,"['plants', 'poisonis']"
 Estrogen is a medicine. Estrogen isn't a , Estrogen is a ,['medicine']
 Courage is a type of personality confidence. Courage isn't a type of personality , Courage is a type of personality ,"['confidence', 'resolve', 'spirit']"
 Toads are amphibians. Toads aren't , Toads are ,"['amphibians', 'aphibians']"
 Kindness is a good. Kindness isn't a , Kindness is a ,"['good', 'action']"
 Nazism is a type of dictatorship. Nazism isn't a type of , Nazism is a type of ,"['dictatorship', 'fascism', 'socialism']"
 Prosecutor is a type of official. Prosecutor isn't a type of , Prosecutor is a type of ,"['official', 'attorney', 'lawyer']"
 Accuracy is a disposition. Accuracy isn't a , Accuracy is a ,"['disposition', 'quality']"
 The Taliban are Islamists. The Taliban aren't , The Taliban are ,['Islamists']
 A mug is a type of containerful. A mug isn't a type of , A mug is a type of ,['containerful']
 Toy is a type of fun collectable. Toy isn't a type of fun , Toy is a type of fun ,"['collectable', 'anything', 'device', 'replica']"
 Soupd is food. Soupd isn't , Soupd is ,['food']
 A tentacle is a kind of process. A tentacle isn't a kind of , A tentacle is a kind of ,"['process', 'grip', 'appendage', 'holder']"
 Photon is a kind of boson. Photon isn't a kind of , Photon is a kind of ,['boson']
 Corporations are companies. Corporations aren't , Corporations are ,['companies']
 Cone is manifold. Cone isn't , Cone is ,"['manifold', 'artifact', 'shape']"
 Cyborgs are fantasy. Cyborgs aren't , Cyborgs are ,['fantasy']
 Xenon is a kind of gas. Xenon isn't a kind of , Xenon is a kind of ,['gas']
 An employee is a person. An employee isn't a , An employee is a ,"['person', 'worker', 'affiliate']"
 Insurance implies a security. Insurance doesn't imply a , Insurance implies a ,"['security', 'insurance', 'financials']"
 Timpani is a kind of drum. Timpani isn't a kind of , Timpani is a kind of ,['drum']
 Cinema is a theater. Cinema isn't a , Cinema is a ,['theater']
 Foxes are canines. Foxes aren't , Foxes are ,['canines']
 A vase is a jar. A vase isn't a , A vase is a ,['jar']
 Ipomoea is a plant. Ipomoea isn't a , Ipomoea is a ,['plant']
 Aggrotech is a kind of industrial. Aggrotech isn't a kind of , Aggrotech is a kind of ,['industrial']
 Water is a type of achromatism. Water isn't a type of , Water is a type of ,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
 Perennials are plants. Perennials aren't , Perennials are ,"['plants', 'flowers', 'foliage']"
 Monks are buddist. Monks aren't , Monks are ,"['buddist', 'band']"
 Citalopram is a kind of SSRI. Citalopram isn't a kind of , Citalopram is a kind of ,"['SSRI', 'drug']"
 Birdwatching is a kind of hobby. Birdwatching isn't a kind of , Birdwatching is a kind of ,['hobby']
 Some politicians are puppets. Some politicians aren't , Some politicians are ,['puppets']
 Bacteria are prokaryotes. Bacteria aren't , Bacteria are ,"['prokaryotes', 'organism', 'Prokaryotic', 'bacteria', 'microorganism', 'everywhere']"
 Soccer is a sport. Soccer isn't a , Soccer is a ,"['sport', 'fun', 'football']"
 Vocation is a type of occupation. Vocation isn't a type of , Vocation is a type of ,"['occupation', 'job', 'labour', 'work']"
 Rice is a kind of white cereal. Rice isn't a kind of white , Rice is a kind of white ,"['cereal', 'pasta', 'starches', 'grain', 'mob']"
 A nutdriver is a type of tool. A nutdriver isn't a type of , A nutdriver is a type of ,['tool']
 A mug is a containerful. A mug isn't a , A mug is a ,['containerful']
 Weigela is a plant. Weigela isn't a , Weigela is a ,"['plant', 'shrub']"
 Kraków is a kind of city. Kraków isn't a kind of , Kraków is a kind of ,['city']
 Bermuda is a type of country. Bermuda isn't a type of , Bermuda is a type of ,"['country', 'grass']"
 Bourbon is a type of reactionary. Bourbon isn't a type of , Bourbon is a type of ,"['reactionary', 'liquor', 'ruler', 'whiskey', 'dynasty']"
 Paper is material. Paper isn't , Paper is ,"['material', 'flamable', 'medium', 'malliable', 'article', 'compilation', 'poreous']"
 Well is water route. Well isn't water , Well is water ,"['route', 'source', 'compartment', 'conduit', 'excavation', 'shaft', 'device', 'vessel']"
 Atheism is the absence of belief. Atheism isn't the absence of , Atheism is the absence of ,"['belief', 'unbelief']"
 Veal is baby food. Veal isn't baby , Veal is baby ,"['food', 'animal', 'beef', 'meat', 'cattle']"
 A BBQ is a type of grill. A BBQ isn't a type of , A BBQ is a type of ,"['grill', 'food']"
 Runners are humans. Runners aren't , Runners are ,['humans']
 Pedobear is a bear. Pedobear isn't a , Pedobear is a ,['bear']
 Nirvana is a blessedness. Nirvana isn't a , Nirvana is a ,"['blessedness', 'Band']"
 Christianity is in the business of blind religion. Christianity isn't in the business of blind , Christianity is in the business of blind ,"['religion', 'faith']"
 A gull is a larid. A gull isn't a , A gull is a ,"['larid', 'bird', 'seabird']"
 A jeweler is a merchant. A jeweler isn't a , A jeweler is a ,['merchant']
 A mac is a type of computer. A mac isn't a type of , A mac is a type of ,['computer']
 Gannet is a seabird. Gannet isn't a , Gannet is a ,['seabird']
 Sponge is ocean animal. Sponge isn't ocean , Sponge is ocean ,"['animal', 'invertebrate']"
 A brooch is a type of jewelry. A brooch isn't a type of , A brooch is a type of ,"['jewelry', 'pin']"
 Amharic is a Semitic language. Amharic isn't a Semitic , Amharic is a Semitic ,"['language', 'Semitic']"
 IsA is a kind of relation. IsA isn't a kind of , IsA is a kind of ,['relation']
 Uganda is a subsahara. Uganda isn't a , Uganda is a ,['subsahara']
 Tongue is a kind of underwater. Tongue isn't a kind of , Tongue is a kind of ,"['underwater', 'projection', 'organ', 'chemoreceptor', 'articulator', 'muscle', 'flap', 'anatomy']"
 Coke is a type of cocaine. Coke isn't a type of , Coke is a type of ,"['cocaine', 'softdrink', 'fuel']"
 Soap is company. Soap isn't , Soap is ,"['company', 'bribe', 'toiletry', 'detergent']"
 Cockroaches are insects. Cockroaches aren't , Cockroaches are ,['insects']
 Pity is a type of emotion. Pity isn't a type of , Pity is a type of ,"['emotion', 'misfortune']"
 A caribou is a animal. A caribou isn't a , A caribou is a ,"['animal', 'deer', 'reindeer']"
 Chick is a type of avian animal. Chick isn't a type of avian , Chick is a type of avian ,['animal']
 Wolverine is a kind of superhero. Wolverine isn't a kind of , Wolverine is a kind of ,"['superhero', 'American', 'carnivore', 'mammal', 'mustelidae']"
 Pie is a pastry. Pie isn't a , Pie is a ,"['pastry', 'semisolid']"
 Piracy is a kind of interfering. Piracy isn't a kind of , Piracy is a kind of ,"['interfering', 'highjacking', 'action', 'robbery', 'act']"
 A preacher is a kind of comic. A preacher isn't a kind of , A preacher is a kind of ,"['comic', 'clergyman', 'person']"
 Nuts are a crunchy. Nuts aren't a , Nuts are a ,['crunchy']
 A backhoe is a kind of machine. A backhoe isn't a kind of , A backhoe is a kind of ,['machine']
 Arsonists are criminals. Arsonists aren't , Arsonists are ,['criminals']
 An obstetrician is a kind of doctor. An obstetrician isn't a kind of , An obstetrician is a kind of ,"['doctor', 'specialist']"
 A gladiola is a iris. A gladiola isn't a , A gladiola is a ,['iris']
 A magician is a performer. A magician isn't a , A magician is a ,"['performer', 'book']"
 Helichrysum is a plant. Helichrysum isn't a , Helichrysum is a ,['plant']
 Rhea is a planet. Rhea isn't a , Rhea is a ,"['planet', 'bird', 'ratite']"
 Many modern witches are wiccan. Many modern witches aren't , Many modern witches are ,['wiccan']
 A Volvo is a kind of car. A Volvo isn't a kind of , A Volvo is a kind of ,"['car', 'company']"
 Chilli is a type of pepper. Chilli isn't a type of , Chilli is a type of ,['pepper']
 Chartreuse is a beverage. Chartreuse isn't a , Chartreuse is a ,"['beverage', 'liqueur']"
 Silk is translucence. Silk isn't , Silk is ,"['translucence', 'book', 'protein', 'fabric']"
 Earth is our location. Earth isn't our , Earth is our ,"['location', 'material', 'element', 'thing', 'planet']"
 Fish are seafood. Fish aren't , Fish are ,"['seafood', 'rad', 'food', 'animals', 'person', 'vertebrate', 'purdy', 'animal', 'meat']"
 King is sovereign. King isn't , King is ,"['sovereign', 'royalyty', 'royalty', 'station', 'monarch', 'checker', 'eminence', 'chessman']"
 A comealong is a type of tool. A comealong isn't a type of , A comealong is a type of ,['tool']
 DMT is a dimethyltryptamine. DMT isn't a , DMT is a ,"['dimethyltryptamine', 'psychedelic']"
 Golf is a sport. Golf isn't a , Golf is a ,['sport']
 Traveller is a type of consumer. Traveller isn't a type of , Traveller is a type of ,"['consumer', 'person']"
 Darts are sport. Darts aren't , Darts are ,"['sport', 'arrows']"
 Superstitions are lies. Superstitions aren't , Superstitions are ,['lies']
 Disgust is an dislike. Disgust isn't an , Disgust is an ,['dislike']
 A deficit is a score. A deficit isn't a , A deficit is a ,"['score', 'insufficiency', 'shortage', 'liabilities', 'lack']"
 A baboon is a animal. A baboon isn't a , A baboon is a ,"['animal', 'monkey', 'mammal']"
 Plutonium is not a naturally-occurring element. Plutonium is a naturally-occurring , Plutonium is not a naturally-occurring ,"['element', 'actinide']"
 The Crips is a type of gang. The Crips isn't a type of , The Crips is a type of ,['gang']
 A couch is a furnitire. A couch isn't a , A couch is a ,"['furnitire', 'bed']"
 Confidence is an security. Confidence isn't an , Confidence is an ,"['security', 'emotion', 'secret', 'friendship', 'hopefulness']"
 Kickboxing is a kind of sport. Kickboxing isn't a kind of , Kickboxing is a kind of ,"['sport', 'boxing', 'fight']"
 Monday is a weekday. Monday isn't a , Monday is a ,"['weekday', 'day']"
 Kosovo is a kind of country. Kosovo isn't a kind of , Kosovo is a kind of ,['country']
 Gluon is a kind of boson. Gluon isn't a kind of , Gluon is a kind of ,['boson']
 Hut is a type of shelter. Hut isn't a type of , Hut is a type of ,['shelter']
 A gundog is a kind of dog. A gundog isn't a kind of , A gundog is a kind of ,['dog']
 Weaver is a craftsman. Weaver isn't a , Weaver is a ,"['craftsman', 'oscine']"
 Cattle are animals. Cattle aren't , Cattle are ,"['animals', 'mammal', 'bovine']"
 A banana is dessert. A banana isn't , A banana is ,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
 A watch is a timepiece. A watch isn't a , A watch is a ,"['timepiece', 'surveillance', 'gear', 'shift', 'clock']"
 Beauty is an exemplar. Beauty isn't an , Beauty is an ,"['exemplar', 'appearance']"
 Scouts are club. Scouts aren't , Scouts are ,"['club', 'organisation', 'people']"
 Automatism is a reaction. Automatism isn't a , Automatism is a ,['reaction']
 A reporter is a type of writer. A reporter isn't a type of , A reporter is a type of ,"['writer', 'communicator']"
 A blowfish is a kind of animal. A blowfish isn't a kind of , A blowfish is a kind of ,['animal']
 Tornado is a type of cyclone. Tornado isn't a type of , Tornado is a type of ,"['cyclone', 'weather', 'whirlwind']"
 Floriade is a convention. Floriade isn't a , Floriade is a ,['convention']
 Glenfiddich is a kind of beverage. Glenfiddich isn't a kind of , Glenfiddich is a kind of ,"['beverage', 'scotch']"
 Cows are domesticated. Cows aren't , Cows are ,"['domesticated', 'herbivorous', 'also']"
 Christianity is a religion. Christianity isn't a , Christianity is a ,"['religion', 'faith']"
 Potoroo is a kind of marsupial. Potoroo isn't a kind of , Potoroo is a kind of ,['marsupial']
 Security is an safety. Security isn't an , Security is an ,"['safety', 'department', 'assets', 'guarantee', 'precaution', 'worker', 'fearlessness']"
 Wool is a type of garment coat. Wool isn't a type of garment , Wool is a type of garment ,"['coat', 'fabric']"
 Redhat is a type of Linux. Redhat isn't a type of , Redhat is a type of ,['Linux']
 Fedora is a type of software. Fedora isn't a type of , Fedora is a type of ,"['software', 'Linux', 'hat']"
 Some doors are band. Some doors aren't , Some doors are ,"['band', 'archways', 'openings', 'rectangular-shaped']"
 A robot is a type of machine. A robot isn't a type of , A robot is a type of ,"['machine', 'automaton', 'slave']"
 Fundamentalism is a type of Protestantism. Fundamentalism isn't a type of , Fundamentalism is a type of ,"['Protestantism', 'belief']"
 Data is a collection. Data isn't a , Data is a ,"['collection', 'information']"
 A pizzeria is a restaurant. A pizzeria isn't a , A pizzeria is a ,"['restaurant', 'shop']"
 Wax is a kind of lipid. Wax isn't a kind of , Wax is a kind of ,"['lipid', 'fuel', 'white']"
 Stylist is a artist. Stylist isn't a , Stylist is a ,['artist']
 Factory is a type of plant. Factory isn't a type of , Factory is a type of ,['plant']
 A bikini is a type of swimwear. A bikini isn't a type of , A bikini is a type of ,"['swimwear', 'swimsuit', 'attire']"
 Psilocybin is a type of drug. Psilocybin isn't a type of , Psilocybin is a type of ,"['drug', 'hallucinogen']"
 Scarves are neckware. Scarves aren't , Scarves are ,['neckware']
 Grebe is a waterfowl. Grebe isn't a , Grebe is a ,['waterfowl']
 Everything is everything. Everything isn't , Everything is ,"['everything', 'data']"
 Canoe is a kind of ship. Canoe isn't a kind of , Canoe is a kind of ,"['ship', 'boat', 'vehicle']"
 Blueberries are food. Blueberries aren't , Blueberries are ,['food']
 Diamond is a forever. Diamond isn't a , Diamond is a ,"['forever', 'carbon', 'solid', 'diamond', 'jewel', 'mineral', 'gem', 'artifact', 'semiconductor']"
 A date is an companion. A date isn't an , A date is an ,"['companion', 'present', 'meeting', 'day']"
 Rakes are tools. Rakes aren't , Rakes are ,['tools']
 A carriage is a mechanism. A carriage isn't a , A carriage is a ,['mechanism']
 A nightingale is a kind of thrush. A nightingale isn't a kind of , A nightingale is a kind of ,"['thrush', 'musical', 'bird']"
 A parakeet is kind of parrot. A parakeet isn't kind of , A parakeet is kind of ,"['parrot', 'pet', 'bird']"
 Shia is a kind of Muslim. Shia isn't a kind of , Shia is a kind of ,"['Muslim', 'person']"
 Jazz is form of music. Jazz isn't form of , Jazz is form of ,['music']
 Thiazides are diuretics. Thiazides aren't , Thiazides are ,['diuretics']
 Canon is a type of catholic list. Canon isn't a type of catholic , Canon is a type of catholic ,"['list', 'scripture', 'priest', 'rule']"
 Lions are carnivores. Lions aren't , Lions are ,"['carnivores', 'carnivoirs', 'animals']"
 An apartment is a type of suite. An apartment isn't a type of , An apartment is a type of ,"['suite', 'film', 'housing', 'accomodation', 'building']"
 A wok is a pan. A wok isn't a , A wok is a ,['pan']
 Sphere has round environment. Sphere doesn't have round , Sphere has round ,"['environment', 'artifact', 'spheroid']"
 Hono is a type of flatbread. Hono isn't a type of , Hono is a type of ,['flatbread']
 Planets are worlds. Planets aren't , Planets are ,['worlds']
 Henry is a person. Henry isn't a , Henry is a ,"['person', 'saint', 'royalty']"
 Fred is a reading. Fred isn't a , Fred is a ,['reading']
 Hypostasis is a kind of kernel. Hypostasisn't isn't a kind of , Hypostasis is a kind of ,"['kernel', 'essence']"
 Dew is a condensation. Dew isn't a , Dew is a ,['condensation']
 Er is a eer. Er isn't a , Er is a ,['eer']
 Archery is sport. Archery isn't , Archery is ,"['sport', 'archery']"
 Star is a type of plasma. Star isn't a type of , Star is a type of ,"['plasma', 'polygon', 'actor']"
 Bowling is a competitive playing. Bowling isn't a competitive , Bowling is a competitive ,"['playing', 'game', 'throw']"
 Barbari is a type of city. Barbari isn't a type of , Barbari is a type of ,"['city', 'flatbread']"
 Cockatiel is a parrot. Cockatiel isn't a , Cockatiel is a ,"['parrot', 'bird']"
 Benzodiazepines are a kind of psychoactive drugs. Benzodiazepines aren't a kind of psychoactive , Benzodiazepines are a kind of psychoactive ,['drugs']
 A king is sovereign. A king isn't , A king is ,"['sovereign', 'royalyty', 'royalty', 'station', 'monarch', 'checker', 'eminence', 'chessman']"
 Lebanon is a country. Lebanon isn't a , Lebanon is a ,['country']
 Nuts are crunchy. Nuts aren't , Nuts are ,['crunchy']
 Eukaryoyte is a kind of organism. Eukaryoyte isn't a kind of , Eukaryoyte is a kind of ,['organism']
 The world is a experience. The world isn't a , The world is a ,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 A scale is a covering. A scale isn't a , A scale is a ,"['covering', 'standard', 'leaf', 'proportion', 'bit', 'indicator']"
 Wednesday is a weekday. Wednesday isn't a , Wednesday is a ,"['weekday', 'day']"
 Snowflakes are fractal. Snowflakes aren't , Snowflakes are ,['fractal']
 A formula is a kind of  milk. A formula isn't a kind of , A formula is a kind of  ,"['milk', 'statement']"
 Donkeys are equines. Donkeys aren't , Donkeys are ,['equines']
 O3 is ozone. O3 isn't , O3 is ,['ozone']
 Sony is a kind of brand. Sony isn't a kind of , Sony is a kind of ,"['brand', 'company']"
 Batman is a kind of album. Batman isn't a kind of , Batman is a kind of ,"['album', 'superhero', 'attendant', 'film']"
 Death is a state. Death isn't a , Death is a ,"['state', 'illness', 'killing', 'end', 'change']"
 Sewing is often a needlework. Sewing isn't often a , Sewing is often a ,"['needlework', 'sewing', 'handicraft', 'craft', 'assembling']"
 A thing is a aim. A thing isn't a , A thing is a ,"['aim', 'abstraction', 'action', 'statement', 'artifact', 'situation', 'happening', 'attribute', 'feeling', 'entity']"
 An animal doesn't want to be suffering. An animal does want to be , An animal doesn't want to be ,"['suffering', 'drown', 'pain', 'starve', 'die']"
 An animal doesn't want to suffering. An animal does want to , An animal doesn't want to ,"['suffering', 'drown', 'pain', 'starve', 'die']"
 Animal does not want suffering. Animal does want , Animal does not want ,"['suffering', 'drown', 'pain', 'starve', 'die']"
 Arachnophobe doesn't want spiders. Arachnophobe does want , Arachnophobe doesn't want ,['spiders']
 A bigot doesn't want advice. A bigot does want , A bigot doesn't want ,['advice']
 A building doesn't want anything. A building does want , A building doesn't want ,['anything']
 A capitalist doesn't want socialism. A capitalist does want , A capitalist doesn't want ,['socialism']
 A child doesn't want boredom. A child does want , A child doesn't want ,['boredom']
 A child doesn't want to be boredom. A child does want to be , A child doesn't want to be ,['boredom']
 A cop doesn't want backtalk. A cop does want , A cop doesn't want ,['backtalk']
 A dog doesn't want to be fleas. A dog does want to be , A dog doesn't want to be ,"['fleas', 'punishment', 'starve']"
 A dog doesn't want fleas. A dog does want , A dog doesn't want ,"['fleas', 'punishment', 'starve']"
 A dog doesn't want to fleas. A dog does want to , A dog doesn't want to ,"['fleas', 'punishment', 'starve']"
 A driver doesn't want to be traffic. A driver does want to be , A driver doesn't want to be ,['traffic']
 A driver doesn't want traffic. A driver does want , A driver doesn't want ,['traffic']
 A farmer doesn't want drought. A farmer does want , A farmer doesn't want ,['drought']
 A fighter doesn't want to lose. A fighter does want to , A fighter doesn't want to ,['lose']
 A gambler doesn't want to lose. A gambler does want to , A gambler doesn't want to ,['lose']
 An insomniac doesn't want amphetamines. An insomniac does want , An insomniac doesn't want ,['amphetamines']
 A king doesn't want regicide. A king does want , A king doesn't want ,['regicide']
 A lover doesn't want to fight. A lover does want to , A lover doesn't want to ,['fight']
 A nun doesn't want sex. A nun does want , A nun doesn't want ,['sex']
 An organism doesn't want to die. An organism does want to , An organism doesn't want to ,['die']
 A pacifist doesn't want guns. A pacifist does want , A pacifist doesn't want ,['guns']
 A person doesn't want to be dictorship. A person does want to be , A person doesn't want to be ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to feel dictorship. A person does want to feel , A person doesn't want to feel ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want dictorship. A person does want , A person doesn't want ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 Person does not want to be dictorship. Person does want to be , Person does not want to be ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to suffer from dictorship. A person does want to suffer from , A person doesn't want to suffer from ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
