word,prompt,opposite_sent,relation,completion
 sponge, [MASK] is ocean animal. [MASK] isn't ocean, Sponge is ocean [MASK]., IsA,"['animal', 'invertebrate']"
 brooch, a [MASK] is a type of jewelry. a [MASK] isn't a type of, A brooch is a type of [MASK]., IsA,"['jewelry', 'pin']"
 amharic, [MASK] is a semitic language. [MASK] isn't a semitic, Amharic is a Semitic [MASK]., IsA,"['language', 'Semitic']"
 isa, [MASK] is a kind of relation. [MASK] isn't a kind of, IsA is a kind of [MASK]., IsA,['relation']
 uganda, [MASK] is a subsahara. [MASK] isn't a, Uganda is a [MASK]., IsA,['subsahara']
 tongue, [MASK] is a kind of underwater. [MASK] isn't a kind of, Tongue is a kind of [MASK]., IsA,"['underwater', 'projection', 'organ', 'chemoreceptor', 'articulator', 'muscle', 'flap', 'anatomy']"
 coke, [MASK] is a type of cocaine. [MASK] isn't a type of, Coke is a type of [MASK]., IsA,"['cocaine', 'softdrink', 'fuel']"
 soap, [MASK] is company. [MASK] isn't, Soap is [MASK]., IsA,"['company', 'bribe', 'toiletry', 'detergent']"
 cockroaches, [MASK] are insects. [MASK] aren't, Cockroaches are [MASK]., IsA,['insects']
 pity, [MASK] is a type of emotion. [MASK] isn't a type of, Pity is a type of [MASK]., IsA,"['emotion', 'misfortune']"
 caribou, a [MASK] is a animal. a [MASK] isn't a, A caribou is a [MASK]., IsA,"['animal', 'deer', 'reindeer']"
 avian, chick is a type of [MASK] animal. chick isn't a type of [MASK], Chick is a type of avian [MASK]., IsA,['animal']
 wolverine, [MASK] is a kind of superhero. [MASK] isn't a kind of, Wolverine is a kind of [MASK]., IsA,"['superhero', 'American', 'carnivore', 'mammal', 'mustelidae']"
 pie, [MASK] is a pastry. [MASK] isn't a, Pie is a [MASK]., IsA,"['pastry', 'semisolid']"
 piracy, [MASK] is a kind of interfering. [MASK] isn't a kind of, Piracy is a kind of [MASK]., IsA,"['interfering', 'highjacking', 'action', 'robbery', 'act']"
 preacher, a [MASK] is a kind of comic. a [MASK] isn't a kind of, A preacher is a kind of [MASK]., IsA,"['comic', 'clergyman', 'person']"
 nuts, [MASK] are a crunchy. [MASK] aren't a, Nuts are a [MASK]., IsA,['crunchy']
 backhoe, a [MASK] is a kind of machine. a [MASK] isn't a kind of, A backhoe is a kind of [MASK]., IsA,['machine']
 arsonists, [MASK] are criminals. [MASK] aren't, Arsonists are [MASK]., IsA,['criminals']
 obstetrician, an [MASK] is a kind of doctor. an [MASK] isn't a kind of, An obstetrician is a kind of [MASK]., IsA,"['doctor', 'specialist']"
 gladiola, a [MASK] is a iris. a [MASK] isn't a, A gladiola is a [MASK]., IsA,['iris']
 magician, a [MASK] is a performer. a [MASK] isn't a, A magician is a [MASK]., IsA,"['performer', 'book']"
 helichrysum, [MASK] is a plant. [MASK] isn't a, Helichrysum is a [MASK]., IsA,['plant']
 rhea, [MASK] is a planet. [MASK] isn't a, Rhea is a [MASK]., IsA,"['planet', 'bird', 'ratite']"
 witches, many modern [MASK] are wiccan. many modern [MASK] aren't, Many modern witches are [MASK]., IsA,['wiccan']
 volvo, a [MASK] is a kind of car. a [MASK] isn't a kind of, A Volvo is a kind of [MASK]., IsA,"['car', 'company']"
 chilli, [MASK] is a type of pepper. [MASK] isn't a type of, Chilli is a type of [MASK]., IsA,['pepper']
 chartreuse, [MASK] is a beverage. [MASK] isn't a, Chartreuse is a [MASK]., IsA,"['beverage', 'liqueur']"
 silk, [MASK] is translucence. [MASK] isn't, Silk is [MASK]., IsA,"['translucence', 'book', 'protein', 'fabric']"
 earth, [MASK] is our location. [MASK] isn't our, Earth is our [MASK]., IsA,"['location', 'material', 'element', 'thing', 'planet']"
 fish, [MASK] are seafood. [MASK] aren't, Fish are [MASK]., IsA,"['seafood', 'rad', 'food', 'animals', 'person', 'vertebrate', 'purdy', 'animal', 'meat']"
 king, [MASK] is sovereign. [MASK] isn't, King is [MASK]., IsA,"['sovereign', 'royalyty', 'royalty', 'station', 'monarch', 'checker', 'eminence', 'chessman']"
 comealong, a [MASK] is a type of tool. a [MASK] isn't a type of, A comealong is a type of [MASK]., IsA,['tool']
 dmt, [MASK] is a dimethyltryptamine. [MASK] isn't a, DMT is a [MASK]., IsA,"['dimethyltryptamine', 'psychedelic']"
 golf, [MASK] is a sport. [MASK] isn't a, Golf is a [MASK]., IsA,['sport']
 traveller, [MASK] is a type of consumer. [MASK] isn't a type of, Traveller is a type of [MASK]., IsA,"['consumer', 'person']"
 darts, [MASK] are sport. [MASK] aren't, Darts are [MASK]., IsA,"['sport', 'arrows']"
 superstitions, [MASK] are lies. [MASK] aren't, Superstitions are [MASK]., IsA,['lies']
 disgust, [MASK] is an dislike. [MASK] isn't an, Disgust is an [MASK]., IsA,['dislike']
 deficit, a [MASK] is a score. a [MASK] isn't a, A deficit is a [MASK]., IsA,"['score', 'insufficiency', 'shortage', 'liabilities', 'lack']"
 baboon, a [MASK] is a animal. a [MASK] isn't a, A baboon is a [MASK]., IsA,"['animal', 'monkey', 'mammal']"
 plutonium, [MASK] is not a naturally-occurring element. [MASK] is a naturally-occurring, Plutonium is not a naturally-occurring [MASK]., IsA,"['element', 'actinide']"
 crips, the [MASK] is a type of gang. the [MASK] isn't a type of, The Crips is a type of [MASK]., IsA,['gang']
 couch, a [MASK] is a furnitire. a [MASK] isn't a, A couch is a [MASK]., IsA,"['furnitire', 'bed']"
 confidence, [MASK] is an security. [MASK] isn't an, Confidence is an [MASK]., IsA,"['security', 'emotion', 'secret', 'friendship', 'hopefulness']"
 kickboxing, [MASK] is a kind of sport. [MASK] isn't a kind of, Kickboxing is a kind of [MASK]., IsA,"['sport', 'boxing', 'fight']"
 monday, [MASK] is a weekday. [MASK] isn't a, Monday is a [MASK]., IsA,"['weekday', 'day']"
 kosovo, [MASK] is a kind of country. [MASK] isn't a kind of, Kosovo is a kind of [MASK]., IsA,['country']
 gluon, [MASK] is a kind of boson. [MASK] isn't a kind of, Gluon is a kind of [MASK]., IsA,['boson']
 hut, [MASK] is a type of shelter. [MASK] isn't a type of, Hut is a type of [MASK]., IsA,['shelter']
 gundog, a [MASK] is a kind of dog. a [MASK] isn't a kind of, A gundog is a kind of [MASK]., IsA,['dog']
 weaver, [MASK] is a craftsman. [MASK] isn't a, Weaver is a [MASK]., IsA,"['craftsman', 'oscine']"
 cattle, [MASK] are animals. [MASK] aren't, Cattle are [MASK]., IsA,"['animals', 'mammal', 'bovine']"
 banana, a [MASK] is dessert. a [MASK] isn't, A banana is [MASK]., IsA,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
 watch, a [MASK] is a timepiece. a [MASK] isn't a, A watch is a [MASK]., IsA,"['timepiece', 'surveillance', 'gear', 'shift', 'clock']"
 beauty, [MASK] is an exemplar. [MASK] isn't an, Beauty is an [MASK]., IsA,"['exemplar', 'appearance']"
 scouts, [MASK] are club. [MASK] aren't, Scouts are [MASK]., IsA,"['club', 'organisation', 'people']"
 automatism, [MASK] is a reaction. [MASK] isn't a, Automatism is a [MASK]., IsA,['reaction']
 reporter, a [MASK] is a type of writer. a [MASK] isn't a type of, A reporter is a type of [MASK]., IsA,"['writer', 'communicator']"
 blowfish, a [MASK] is a kind of animal. a [MASK] isn't a kind of, A blowfish is a kind of [MASK]., IsA,['animal']
 tornado, [MASK] is a type of cyclone. [MASK] isn't a type of, Tornado is a type of [MASK]., IsA,"['cyclone', 'weather', 'whirlwind']"
 floriade, [MASK] is a convention. [MASK] isn't a, Floriade is a [MASK]., IsA,['convention']
 glenfiddich, [MASK] is a kind of beverage. [MASK] isn't a kind of, Glenfiddich is a kind of [MASK]., IsA,"['beverage', 'scotch']"
 cows, [MASK] are domesticated. [MASK] aren't, Cows are [MASK]., IsA,"['domesticated', 'herbivorous', 'also']"
 christianity, [MASK] is a religion. [MASK] isn't a, Christianity is a [MASK]., IsA,"['religion', 'faith']"
 potoroo, [MASK] is a kind of marsupial. [MASK] isn't a kind of, Potoroo is a kind of [MASK]., IsA,['marsupial']
 security, [MASK] is an safety. [MASK] isn't an, Security is an [MASK]., IsA,"['safety', 'department', 'assets', 'guarantee', 'precaution', 'worker', 'fearlessness']"
 wool, [MASK] is a type of garment coat. [MASK] isn't a type of garment, Wool is a type of garment [MASK]., IsA,"['coat', 'fabric']"
 redhat, [MASK] is a type of linux. [MASK] isn't a type of, Redhat is a type of [MASK]., IsA,['Linux']
 fedora, [MASK] is a type of software. [MASK] isn't a type of, Fedora is a type of [MASK]., IsA,"['software', 'Linux', 'hat']"
 doors, some [MASK] are band. some [MASK] aren't, Some doors are [MASK]., IsA,"['band', 'archways', 'openings', 'rectangular-shaped']"
 robot, a [MASK] is a type of machine. a [MASK] isn't a type of, A robot is a type of [MASK]., IsA,"['machine', 'automaton', 'slave']"
 fundamentalism, [MASK] is a type of protestantism. [MASK] isn't a type of, Fundamentalism is a type of [MASK]., IsA,"['Protestantism', 'belief']"
 data, [MASK] is a collection. [MASK] isn't a, Data is a [MASK]., IsA,"['collection', 'information']"
 pizzeria, a [MASK] is a restaurant. a [MASK] isn't a, A pizzeria is a [MASK]., IsA,"['restaurant', 'shop']"
 wax, [MASK] is a kind of lipid. [MASK] isn't a kind of, Wax is a kind of [MASK]., IsA,"['lipid', 'fuel', 'white']"
 stylist, [MASK] is a artist. [MASK] isn't a, Stylist is a [MASK]., IsA,['artist']
 factory, [MASK] is a type of plant. [MASK] isn't a type of, Factory is a type of [MASK]., IsA,['plant']
 bikini, a [MASK] is a type of swimwear. a [MASK] isn't a type of, A bikini is a type of [MASK]., IsA,"['swimwear', 'swimsuit', 'attire']"
 psilocybin, [MASK] is a type of drug. [MASK] isn't a type of, Psilocybin is a type of [MASK]., IsA,"['drug', 'hallucinogen']"
 scarves, [MASK] are neckware. [MASK] aren't, Scarves are [MASK]., IsA,['neckware']
 grebe, [MASK] is a waterfowl. [MASK] isn't a, Grebe is a [MASK]., IsA,['waterfowl']
 everything, [MASK] is [MASK]. [MASK] isn't, Everything is [MASK]., IsA,"['everything', 'data']"
 canoe, [MASK] is a kind of ship. [MASK] isn't a kind of, Canoe is a kind of [MASK]., IsA,"['ship', 'boat', 'vehicle']"
 blueberries, [MASK] are food. [MASK] aren't, Blueberries are [MASK]., IsA,['food']
 diamond, [MASK] is a forever. [MASK] isn't a, Diamond is a [MASK]., IsA,"['forever', 'carbon', 'solid', 'diamond', 'jewel', 'mineral', 'gem', 'artifact', 'semiconductor']"
 date, a [MASK] is an companion. a [MASK] isn't an, A date is an [MASK]., IsA,"['companion', 'present', 'meeting', 'day']"
 rakes, [MASK] are tools. [MASK] aren't, Rakes are [MASK]., IsA,['tools']
 carriage, a [MASK] is a mechanism. a [MASK] isn't a, A carriage is a [MASK]., IsA,['mechanism']
 nightingale, a [MASK] is a kind of thrush. a [MASK] isn't a kind of, A nightingale is a kind of [MASK]., IsA,"['thrush', 'musical', 'bird']"
 parakeet, a [MASK] is kind of parrot. a [MASK] isn't kind of, A parakeet is kind of [MASK]., IsA,"['parrot', 'pet', 'bird']"
 shia, [MASK] is a kind of muslim. [MASK] isn't a kind of, Shia is a kind of [MASK]., IsA,"['Muslim', 'person']"
 jazz, [MASK] is form of music. [MASK] isn't form of, Jazz is form of [MASK]., IsA,['music']
 thiazides, [MASK] are diuretics. [MASK] aren't, Thiazides are [MASK]., IsA,['diuretics']
 canon, [MASK] is a type of catholic list. [MASK] isn't a type of catholic, Canon is a type of catholic [MASK]., IsA,"['list', 'scripture', 'priest', 'rule']"
 lions, [MASK] are carnivores. [MASK] aren't, Lions are [MASK]., IsA,"['carnivores', 'carnivoirs', 'animals']"
 apartment, an [MASK] is a type of suite. an [MASK] isn't a type of, An apartment is a type of [MASK]., IsA,"['suite', 'film', 'housing', 'accomodation', 'building']"
 wok, a [MASK] is a pan. a [MASK] isn't a, A wok is a [MASK]., IsA,['pan']
 sphere, [MASK] has round environment. [MASK] doesn't have round, Sphere has round [MASK]., IsA,"['environment', 'artifact', 'spheroid']"
 hono, [MASK] is a type of flatbread. [MASK] isn't a type of, Hono is a type of [MASK]., IsA,['flatbread']
 planets, [MASK] are worlds. [MASK] aren't, Planets are [MASK]., IsA,['worlds']
 henry, [MASK] is a person. [MASK] isn't a, Henry is a [MASK]., IsA,"['person', 'saint', 'royalty']"
 fred, [MASK] is a reading. [MASK] isn't a, Fred is a [MASK]., IsA,['reading']
 hypostasis, [MASK] is a kind of kernel. [MASK] isn't a kind of, Hypostasis is a kind of [MASK]., IsA,"['kernel', 'essence']"
 dew, [MASK] is a condensation. [MASK] isn't a, Dew is a [MASK]., IsA,['condensation']
 er, [MASK] is a e[MASK]. [MASK] isn't a, Er is a [MASK]., IsA,['eer']
 archery, [MASK] is sport. [MASK] isn't, Archery is [MASK]., IsA,"['sport', 'archery']"
 star, [MASK] is a type of plasma. [MASK] isn't a type of, Star is a type of [MASK]., IsA,"['plasma', 'polygon', 'actor']"
 bowling, [MASK] is a competitive playing. [MASK] isn't a competitive, Bowling is a competitive [MASK]., IsA,"['playing', 'game', 'throw']"
 barbari, [MASK] is a type of city. [MASK] isn't a type of, Barbari is a type of [MASK]., IsA,"['city', 'flatbread']"
 cockatiel, [MASK] is a parrot. [MASK] isn't a, Cockatiel is a [MASK]., IsA,"['parrot', 'bird']"
 benzodiazepines, [MASK] are a kind of psychoactive drugs. [MASK] aren't a kind of psychoactive, Benzodiazepines are a kind of psychoactive [MASK]., IsA,['drugs']
 king, a [MASK] is sovereign. a [MASK] isn't, A king is [MASK]., IsA,"['sovereign', 'royalyty', 'royalty', 'station', 'monarch', 'checker', 'eminence', 'chessman']"
 lebanon, [MASK] is a country. [MASK] isn't a, Lebanon is a [MASK]., IsA,['country']
 nuts, [MASK] are crunchy. [MASK] aren't, Nuts are [MASK]., IsA,['crunchy']
 eukaryoyte, [MASK] is a kind of organism. [MASK] isn't a kind of, Eukaryoyte is a kind of [MASK]., IsA,['organism']
 world, the [MASK] is a experience. the [MASK] isn't a, The world is a [MASK]., IsA,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 scale, a [MASK] is a covering. a [MASK] isn't a, A scale is a [MASK]., IsA,"['covering', 'standard', 'leaf', 'proportion', 'bit', 'indicator']"
 wednesday, [MASK] is a weekday. [MASK] isn't a, Wednesday is a [MASK]., IsA,"['weekday', 'day']"
 snowflakes, [MASK] are fractal. [MASK] aren't, Snowflakes are [MASK]., IsA,['fractal']
 formula, a [MASK] is a kind of  milk. a [MASK] isn't a kind of, A formula is a kind of  [MASK]., IsA,"['milk', 'statement']"
 donkeys, [MASK] are equines. [MASK] aren't, Donkeys are [MASK]., IsA,['equines']
 o3, [MASK] is ozone. [MASK] isn't, O3 is [MASK]., IsA,['ozone']
 sony, [MASK] is a kind of brand. [MASK] isn't a kind of, Sony is a kind of [MASK]., IsA,"['brand', 'company']"
 batman, [MASK] is a kind of album. [MASK] isn't a kind of, Batman is a kind of [MASK]., IsA,"['album', 'superhero', 'attendant', 'film']"
 death, [MASK] is a state. [MASK] isn't a, Death is a [MASK]., IsA,"['state', 'illness', 'killing', 'end', 'change']"
 sewing, [MASK] is often a needlework. [MASK] isn't often a, Sewing is often a [MASK]., IsA,"['needlework', 'sewing', 'handicraft', 'craft', 'assembling']"
 thing, a [MASK] is a aim. a [MASK] isn't a, A thing is a [MASK]., IsA,"['aim', 'abstraction', 'action', 'statement', 'artifact', 'situation', 'happening', 'attribute', 'feeling', 'entity']"
 animal, an [MASK] doesn't want to be suffering. an [MASK] does want to be, An animal doesn't want to be [MASK]., NotDesires,"['suffering', 'drown', 'pain', 'starve', 'die']"
 animal, an [MASK] doesn't want to suffering. an [MASK] does want to, An animal doesn't want to [MASK]., NotDesires,"['suffering', 'drown', 'pain', 'starve', 'die']"
 animal, [MASK] does not want suffering. [MASK] does want, Animal does not want [MASK]., NotDesires,"['suffering', 'drown', 'pain', 'starve', 'die']"
 arachnophobe, [MASK] doesn't want spiders. [MASK] does want, Arachnophobe doesn't want [MASK]., NotDesires,['spiders']
 bigot, a [MASK] doesn't want advice. a [MASK] does want, A bigot doesn't want [MASK]., NotDesires,['advice']
 building, a [MASK] doesn't want anything. a [MASK] does want, A building doesn't want [MASK]., NotDesires,['anything']
 capitalist, a [MASK] doesn't want socialism. a [MASK] does want, A capitalist doesn't want [MASK]., NotDesires,['socialism']
 child, a [MASK] doesn't want boredom. a [MASK] does want, A child doesn't want [MASK]., NotDesires,['boredom']
 child, a [MASK] doesn't want to be boredom. a [MASK] does want to be, A child doesn't want to be [MASK]., NotDesires,['boredom']
 cop, a [MASK] doesn't want backtalk. a [MASK] does want, A cop doesn't want [MASK]., NotDesires,['backtalk']
 dog, a [MASK] doesn't want to be fleas. a [MASK] does want to be, A dog doesn't want to be [MASK]., NotDesires,"['fleas', 'punishment', 'starve']"
 dog, a [MASK] doesn't want fleas. a [MASK] does want, A dog doesn't want [MASK]., NotDesires,"['fleas', 'punishment', 'starve']"
 dog, a [MASK] doesn't want to fleas. a [MASK] does want to, A dog doesn't want to [MASK]., NotDesires,"['fleas', 'punishment', 'starve']"
 driver, a [MASK] doesn't want to be traffic. a [MASK] does want to be, A driver doesn't want to be [MASK]., NotDesires,['traffic']
 driver, a [MASK] doesn't want traffic. a [MASK] does want, A driver doesn't want [MASK]., NotDesires,['traffic']
 farmer, a [MASK] doesn't want drought. a [MASK] does want, A farmer doesn't want [MASK]., NotDesires,['drought']
 fighter, a [MASK] doesn't want to lose. a [MASK] does want to, A fighter doesn't want to [MASK]., NotDesires,['lose']
 gambler, a [MASK] doesn't want to lose. a [MASK] does want to, A gambler doesn't want to [MASK]., NotDesires,['lose']
 insomniac, an [MASK] doesn't want amphetamines. an [MASK] does want, An insomniac doesn't want [MASK]., NotDesires,['amphetamines']
 king, a [MASK] doesn't want regicide. a [MASK] does want, A king doesn't want [MASK]., NotDesires,['regicide']
 lover, a [MASK] doesn't want to fight. a [MASK] does want to, A lover doesn't want to [MASK]., NotDesires,['fight']
 nun, a [MASK] doesn't want sex. a [MASK] does want, A nun doesn't want [MASK]., NotDesires,['sex']
 organism, an [MASK] doesn't want to die. an [MASK] does want to, An organism doesn't want to [MASK]., NotDesires,['die']
 pacifist, a [MASK] doesn't want guns. a [MASK] does want, A pacifist doesn't want [MASK]., NotDesires,['guns']
 person, a [MASK] doesn't want to be dictorship. a [MASK] does want to be, A person doesn't want to be [MASK]., NotDesires,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 person, a [MASK] doesn't want to feel dictorship. a [MASK] does want to feel, A person doesn't want to feel [MASK]., NotDesires,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 person, a [MASK] doesn't want dictorship. a [MASK] does want, A person doesn't want [MASK]., NotDesires,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 person, [MASK] does not want to be dictorship. [MASK] does want to be, Person does not want to be [MASK]., NotDesires,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 person, a [MASK] doesn't want to suffer from dictorship. a [MASK] does want to suffer from, A person doesn't want to suffer from [MASK]., NotDesires,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
