word,prompt,opposite_sent,relation,completion
 cold, A cold is a temperature. A cold isn't a, A cold is a, IsA,"['temperature', 'disease']"
 denim, Denim is a fabric. Denim isn't a, Denim is a, IsA,['fabric']
 time, Time is experience. Time isn't, Time is, IsA,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 autobahn, Autobahn is a kind of expressway. Autobahn isn't a kind of, Autobahn is a kind of, IsA,"['expressway', 'Freeway']"
 werewolf, Werewolf is a type of monster. Werewolf isn't a type of, Werewolf is a type of, IsA,"['monster', 'mammal']"
 politician, A politician is a human. A politician isn't a, A politician is a, IsA,"['human', 'leader', 'schemer', 'worker']"
 archaea, Bacteria and Archaea are prokaryotes. Bacteria and Archaea aren't, Bacteria and Archaea are, IsA,"['prokaryotes', 'archaea']"
 indonesia, Indonesia is an country. Indonesia isn't an, Indonesia is an, IsA,['country']
 paisley, Paisley is a fabric. Paisley isn't a, Paisley is a, IsA,['fabric']
 sewing, Sewing is a needlework. Sewing isn't a, Sewing is a, IsA,"['needlework', 'sewing', 'handicraft', 'craft', 'assembling']"
 opthamologist, An opthamologist is a kind of doctor. An opthamologist isn't a kind of, An opthamologist is a kind of, IsA,['doctor']
 liver, The liver is a inhabitant. The liver isn't a, The liver is a, IsA,"['inhabitant', 'person', 'organ', 'colour']"
 goose, A goose is a kind of anatidae. A goose isn't a kind of, A goose is a kind of, IsA,"['anatidae', 'meat', 'poultry', 'bird']"
 snore, Snore is a noise. Snore isn't a, Snore is a, IsA,"['noise', 'breathing']"
 ubuntu, Ubuntu is a type of software. Ubuntu isn't a type of, Ubuntu is a type of, IsA,"['software', 'Linux']"
 expectorant, An expectorant is a type of medicine. An expectorant isn't a type of, An expectorant is a type of, IsA,"['medicine', 'medication']"
 wii, Wii is a kind of console. Wii isn't a kind of, Wii is a kind of, IsA,['console']
 burlap, Burlap is a type of cloth. Burlap isn't a type of, Burlap is a type of, IsA,"['cloth', 'sacking']"
 minister, Minister is a type of diplomat. Minister isn't a type of, Minister is a type of, IsA,"['diplomat', 'clergyman', 'provost', 'executive']"
 attack, Attack is a type of affliction. Attack isn't a type of, Attack is a type of, IsA,"['affliction', 'degeneration', 'violence', 'criticism', 'turn', 'operation', 'beginning', 'crime']"
 time, Time is a experience. Time isn't a, Time is a, IsA,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 life, Life is a experience. Life isn't a, Life is a, IsA,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
 top, Top is a type of software. Top isn't a type of, Top is a type of, IsA,"['software', 'plaything', 'intensity', 'side', 'platform', 'turn', 'region', 'covering', 'quark']"
 comforter, A comforter is like a fluffy bedding. A comforter isn't like a fluffy, A comforter is like a fluffy, IsA,"['bedding', 'textile', 'chair', 'device']"
 customers, Customers are people. Customers aren't, Customers are, IsA,['people']
 books, Books are anthologies. Books aren't, Books are, IsA,"['anthologies', 'fiction', 'products', 'literature', 'fantasies']"
 china, China is a kind of dictatorship. China isn't a kind of, China is a kind of, IsA,"['dictatorship', 'country', 'porcelain']"
 paycheck, A paycheck is a check. A paycheck isn't a, A paycheck is a, IsA,['check']
 fish, Fish is seafood. Fish isn't, Fish is, IsA,"['seafood', 'rad', 'food', 'animals', 'person', 'vertebrate', 'purdy', 'animal', 'meat']"
 cheetah, A cheetah is a feline. A cheetah isn't a, A cheetah is a, IsA,['feline']
 tiger, Tiger is vicious felid. Tiger isn't vicious, Tiger is vicious, IsA,"['felid', 'feline', 'mammal', 'person']"
 lab, A lab is a river. A lab isn't a, A lab is a, IsA,"['river', 'workplace']"
 joy, Joy is a type of emotion. Joy isn't a type of, Joy is a type of, IsA,"['emotion', 'album', 'magazine']"
 beagle, A beagle is a type of dog. A beagle isn't a type of, A beagle is a type of, IsA,"['dog', 'hound', 'software']"
 life, My life is a experience. My life isn't a, My life is a, IsA,"['experience', 'motivation', 'person', 'school', 'magazine', 'being']"
 ibuprofen, Ibuprofen is a kind of nsaid. Ibuprofen isn't a kind of, Ibuprofen is a kind of, IsA,"['nsaid', 'painkiller', 'drug', 'medicine']"
 plato, Plato was a philosopher. Plato didn't be a, Plato was a, IsA,"['philosopher', 'person']"
 vocalist, A vocalist is a kind of musician. A vocalist isn't a kind of, A vocalist is a kind of, IsA,['musician']
 prodigy, The prodigy was a exemplar. The prodigy didn't be a, The prodigy was a, IsA,"['exemplar', 'genius']"
 talc, Talc is a mineral. Talc isn't a, Talc is a, IsA,['mineral']
 microwave, A microwave is an wave. A microwave isn't an, A microwave is an, IsA,['wave']
 cat, Cat is a kind of felis. Cat isn't a kind of, Cat is a kind of, IsA,"['felis', 'gossip', 'book', 'Animal', 'noun', 'Talisman', 'mammal', 'feline', 'quadriped', 'woman']"
 person, A person doesn't want to be lonley. A person does want to be, A person doesn't want to be, IsA,"['lonley', 'organism', 'sentient', 'human', 'Human']"
 underwear, Underwear is a kind of clothing. Underwear isn't a kind of, Underwear is a kind of, IsA,"['clothing', 'underclothes', 'undergarment', 'garment']"
 maine, Maine is a river. Maine isn't a, Maine is a, IsA,['river']
 focaccia, Focaccia is a type of food. Focaccia isn't a type of, Focaccia is a type of, IsA,"['food', 'flatbread']"
 rock, A rock is material. A rock isn't, A rock is, IsA,"['material', 'hard', 'music', 'lurch']"
 hip, A hip is a kind of joint. A hip isn't a kind of, A hip is a kind of, IsA,"['joint', 'anatomy', 'fruit', 'botany']"
 emu, An emu is an animal. An emu isn't an, An emu is an, IsA,"['animal', 'bird', 'ratite']"
 giraffes, Giraffes are only. Giraffes aren't, Giraffes are, IsA,"['only', 'herbivores']"
 dog, Dog is a kind of pet. Dog isn't a kind of, Dog is a kind of, IsA,"['pet', 'shedding', 'canine', 'canis', 'artwork', 'mammal', 'quadriped', 'chap', 'canid']"
 asatru, Asatru is a kind of Paganism. Asatru isn't a kind of, Asatru is a kind of, IsA,['Paganism']
 retriever, A retriever is a type of dog. A retriever isn't a type of, A retriever is a type of, IsA,"['dog', 'pet']"
 fingers, Fingers are limbs. Fingers aren't, Fingers are, IsA,['limbs']
 medicine, Medicine is a treatment. Medicine isn't a, Medicine is a, IsA,"['treatment', 'drug']"
 toaster, A toaster is a supporter. A toaster isn't a, A toaster is a, IsA,['supporter']
 fox, Fox is a type of furry Algonquin. Fox isn't a type of furry, Fox is a type of furry, IsA,"['Algonquin', 'meat-eating', 'canine', 'mammal', 'scavenger', 'fur', 'Algonquian', 'canid']"
 minerals, Minerals are chemicals. Minerals aren't, Minerals are, IsA,['chemicals']
 grammar, Grammar is a kind of structure. Grammar isn't a kind of, Grammar is a kind of, IsA,['structure']
 beet, Beet is red vegetable. Beet isn't red, Beet is red, IsA,['vegetable']
 terrorist, A terrorist is criminal. A terrorist isn't, A terrorist is, IsA,"['criminal', 'person', 'radical', 'human', 'delusional']"
 jumbojet, Jumbojet is a kind of jet. Jumbojet isn't a kind of, Jumbojet is a kind of, IsA,"['jet', 'jetliner', 'airplane']"
 humans, Some humans are bipeds. Some humans aren't, Some humans are, IsA,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
 madonna, Madonna is a kind of album. Madonna isn't a kind of, Madonna is a kind of, IsA,"['album', 'person', 'singer']"
 bacteria, Bacteria and Archaea are prokaryotes. Bacteria and Archaea aren't, Bacteria and Archaea are, IsA,"['prokaryotes', 'organism', 'Prokaryotic', 'bacteria', 'microorganism', 'everywhere']"
 pythons, Pythons are snakes. Pythons aren't, Pythons are, IsA,['snakes']
 base, Base is a kind of location. Base isn't a kind of, Base is a kind of, IsA,"['location', 'part', 'electrode', 'flank', 'compound', 'chemical', 'support', 'website', 'bottom', 'number', 'ingredient']"
 impatiens, Impatiens are annuals. Impatiens aren't, Impatiens are, IsA,"['annuals', 'plant']"
 everybody, Everybody is equeal. Everybody isn't, Everybody is, IsA,['equeal']
 horses, Horses are quadrupeds. Horses aren't, Horses are, IsA,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
 cabinetmaker, A cabinetmaker is a type of woodworker. A cabinetmaker isn't a type of, A cabinetmaker is a type of, IsA,"['woodworker', 'tradesman']"
 bags, Bags are containers. Bags aren't, Bags are, IsA,['containers']
 crab, Crab is shellfish. Crab isn't, Crab is, IsA,"['shellfish', 'crustacean', 'person', 'rowing', 'grouch']"
 marmite, Marmite is pot. Marmite isn't, Marmite is, IsA,"['pot', 'savoury', 'soup']"
 human, A human is a kind of primate. A human isn't a kind of, A human is a kind of, IsA,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 mozillaquest, MozillaQuest are liars. MozillaQuest aren't, MozillaQuest are, IsA,['liars']
 handgun, A handgun is a dangerous weapon. A handgun isn't a dangerous, A handgun is a dangerous, IsA,"['weapon', 'attack', 'sidearm']"
 trees, Trees are perennials. Trees aren't, Trees are, IsA,['perennials']
 norway, Situation: norway is a country. Situation: norway isn't a, Situation: norway is a, IsA,['country']
 skeleton, Skeleton is a kind of sport. Skeleton isn't a kind of, Skeleton is a kind of, IsA,"['sport', 'minimum', 'tobogganing', 'organ', 'scandal']"
 gold, Gold is a colour. Gold isn't a, Gold is a, IsA,"['colour', 'wealth', 'invaluableness', 'heavy', 'COMEDY', 'metal']"
 parsnips, Parsnips are vegetables. Parsnips aren't, Parsnips are, IsA,['vegetables']
 wall, Wall is a type of difficulty. Wall isn't a type of, Wall is a type of, IsA,"['difficulty', 'site', 'partition', 'album', 'object', 'fence', 'layer', 'stratum']"
 pituitary, Some people suffer from disorders of the pituitary gland. Some people don't suffer from disorders of the pituitary, Some people suffer from disorders of the pituitary, IsA,['gland']
 attributes, Attributes are properties. Attributes aren't, Attributes are, IsA,"['properties', 'qualities']"
 ericsson, Ericsson is a Swedish company. Ericsson isn't a Swedish, Ericsson is a Swedish, IsA,['company']
 hoodie, A hoodie is a kind of jacket.. A hoodie isn't a kind of, A hoodie is a kind of, IsA,['jacket.']
 goats, Goats are mammals. Goats aren't, Goats are, IsA,['mammals']
 vintner, A vintner is a kind of merchant. A vintner isn't a kind of, A vintner is a kind of, IsA,"['merchant', 'person', 'maker']"
 sweden, Sweden is a country. Sweden isn't a, Sweden is a, IsA,['country']
 calibrachoa, Calibrachoa is a plant. Calibrachoa isn't a, Calibrachoa is a, IsA,['plant']
 madonna, Madonna is a album. Madonna isn't a, Madonna is a, IsA,"['album', 'person', 'singer']"
 spiderman, Spiderman is a kind of human. Spiderman isn't a kind of, Spiderman is a kind of, IsA,"['human', 'superhero']"
 estate, An estate is a type of class. An estate isn't a type of, An estate is a type of, IsA,"['class', 'property', 'car']"
 truck, Van is a type of truck automobile. Van isn't a type of truck, Van is a type of truck, IsA,['automobile']
 sheep, Sheep is bovid. Sheep isn't, Sheep is, IsA,"['bovid', 'animals', 'mammals', 'simpleton', 'mammal', 'animal', 'ruminant', 'follower']"
 anime, Anime is a kind of video. Anime isn't a kind of, Anime is a kind of, IsA,"['video', 'cartoon', 'animation']"
 jesus, Jesus was a person. Jesus didn't be a, Jesus was a, IsA,['person']
 england, England is a britain. England isn't a, England is a, IsA,['britain']
 love, Love is an score. Love isn't an, Love is an, IsA,"['score', 'forever', '...responsibility', 'emotion', 'like', 'attachment', 'affection', '""magic""', 'object', 'bond']"
 ursines, Ursines are bears. Ursines aren't, Ursines are, IsA,['bears']
 zebras, Zebras are animals. Zebras aren't, Zebras are, IsA,"['animals', 'equines']"
 latch, A latch is a kind of lock. A latch isn't a kind of, A latch is a kind of, IsA,"['lock', 'fastener', 'catch']"
 cheering, Cheering is a vocalizing. Cheering isn't a, Cheering is a, IsA,"['vocalizing', 'encouragement', 'support']"
 wyoming, Wyoming is a ship. Wyoming isn't a, Wyoming is a, IsA,"['ship', 'state']"
 rooms, Rooms are bedrooms. Rooms aren't, Rooms are, IsA,"['bedrooms', 'containers', 'museum']"
 backdrop, A backdrop is a scenery. A backdrop isn't a, A backdrop is a, IsA,['scenery']
 overflow, An overflow is a flow. An overflow isn't a, An overflow is a, IsA,['flow']
 alpaca, An alpaca is a type of fabric. An alpaca isn't a type of, An alpaca is a type of, IsA,"['fabric', 'wool', 'mammal', 'llama', 'reptile']"
 orthodox, Orthodox is a kind of Judaism. Orthodox isn't a kind of, Orthodox is a kind of, IsA,"['Judaism', 'Christian']"
 crampons, Crampons are metal. Crampons aren't, Crampons are, IsA,['metal']
 dogs, Some people have dogs as dogs. Some people don't have dogs as, Some people have dogs as, IsA,"['dogs', 'mammals', 'pets']"
 icosahedron, An icosahedron is a polyhedron. An icosahedron isn't a, An icosahedron is a, IsA,['polyhedron']
 supervisor, A supervisor is a superior. A supervisor isn't a, A supervisor is a, IsA,"['superior', 'person']"
 astronomy, Astronomy is star science. Astronomy isn't star, Astronomy is star, IsA,"['science', 'physics']"
 fricasseeing, Fricasseeing is a type of stewing. Fricasseeing isn't a type of, Fricasseeing is a type of, IsA,['stewing']
 auk, An auk is a type of animal. An auk isn't a type of, An auk is a type of, IsA,"['animal', 'bird', 'seabird']"
 metallica, Situation: Metallica is a heavy metal band. Situation: Metallica isn't a heavy metal, Situation: Metallica is a heavy metal, IsA,['band']
 naan, Naan is a type of food. Naan isn't a type of, Naan is a type of, IsA,"['food', 'flatbread']"
 rasp, A rasp is a type of utterance. A rasp isn't a type of, A rasp is a type of, IsA,"['utterance', 'file', 'tool']"
 tool, Tool is a type of implement. Tool isn't a type of, Tool is a type of, IsA,"['implement', 'band', 'device']"
 bagel, A bagel is a bun. A bagel isn't a, A bagel is a, IsA,"['bun', 'food', 'bread']"
 kettles, Kettles are pots. Kettles aren't, Kettles are, IsA,['pots']
 mosquito, Mosquito is midge. Mosquito isn't, Mosquito is, IsA,"['midge', 'parasite', 'gnat', 'insect', 'vermin']"
 muppets, Muppets are puppets. Muppets aren't, Muppets are, IsA,['puppets']
 spagetti, Spagetti is a kind of pasta. Spagetti isn't a kind of, Spagetti is a kind of, IsA,['pasta']
 cockatoo, A cockatoo is a parrot. A cockatoo isn't a, A cockatoo is a, IsA,"['parrot', 'bird']"
 clock, Clock is a kind of timepiece. Clock isn't a kind of, Clock is a kind of, IsA,"['timepiece', 'device']"
 kohlrabi, Kohlrabi is a crucifer. Kohlrabi isn't a, Kohlrabi is a, IsA,['crucifer']
 bottle, A bottle is a kind of casing. A bottle isn't a kind of, A bottle is a kind of, IsA,"['casing', 'containerful', 'vessel', 'container']"
 hash, Hash is a dish. Hash isn't a, Hash is a, IsA,['dish']
 cheese, Cheese is a software. Cheese isn't a, Cheese is a, IsA,"['software', 'mixture', 'magazine', 'food']"
 roti, Roti is a type of flatbread. Roti isn't a type of, Roti is a type of, IsA,['flatbread']
 database, The database is a sks. The database isn't a, The database is a, IsA,"['sks', 'information', 'ibo']"
 buckle, A buckle is a kind of connector. A buckle isn't a kind of, A buckle is a kind of, IsA,"['connector', 'deform', 'fastener']"
 problems, Some problems are unsolvable. Some problems aren't, Some problems are, IsA,['unsolvable']
 mineral, A mineral is a type of matter. A mineral isn't a type of, A mineral is a type of, IsA,"['matter', 'material', 'generally', 'crystal']"
 emerald, Emerald is a type of jewel. Emerald isn't a type of, Emerald is a type of, IsA,"['jewel', 'mineral', 'beryl', 'green']"
 vineyard, Vineyard is a kind of place. Vineyard isn't a kind of, Vineyard is a kind of, IsA,"['place', 'farm']"
 chocolate, Fudge is a type of chocolate candy. Fudge isn't a type of chocolate, Fudge is a type of chocolate, IsA,"['candy', 'dessert', 'brown', 'food']"
 ceo, A CEO is a type of employee. A CEO isn't a type of, A CEO is a type of, IsA,"['employee', 'person']"
 mops, Mops are tools. Mops aren't, Mops are, IsA,"['tools', 'mammal']"
 cyprus, Cyprus is an country. Cyprus isn't an, Cyprus is an, IsA,"['country', 'state']"
 lyre, Lyre is old harp. Lyre isn't old, Lyre is old, IsA,['harp']
 actress, An actress is a kind of a person. An actress isn't a kind of a, An actress is a kind of a, IsA,"['person', 'actor']"
 pullover, A pullover is a kind of dress. A pullover isn't a kind of, A pullover is a kind of, IsA,"['dress', 'sweater']"
 gorilla, Gorilla is animal. Gorilla isn't, Gorilla is, IsA,"['animal', 'hominid', 'mammal']"
 barbiturates, Barbiturates are salts. Barbiturates aren't, Barbiturates are, IsA,['salts']
 ied, IED is a kind of explosive. IED isn't a kind of, IED is a kind of, IsA,['explosive']
 sugar, Sugar is a type of organic software. Sugar isn't a type of organic, Sugar is a type of organic, IsA,"['software', 'carbohydrate', 'crystal', 'translucence', 'sweetening']"
 eyeshadow, Eyeshadow is a type of makeup. Eyeshadow isn't a type of, Eyeshadow is a type of, IsA,['makeup']
 banana, Banana is a kind of dessert. Banana isn't a kind of, Banana is a kind of, IsA,"['dessert', 'food', 'yellow', 'hand', 'bunch', 'herb']"
 accident, Accident is a kind of mishap. Accident isn't a kind of, Accident is a kind of, IsA,"['mishap', 'happening']"
 mine, Mine is a type of facility. Mine isn't a type of, Mine is a type of, IsA,"['facility', 'bomb', 'excavation']"
 war, War is a conflict. War isn't a, War is a, IsA,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
 cinnamon, Cinnamon is a spice. Cinnamon isn't a, Cinnamon is a, IsA,"['spice', 'laurel', 'bark']"
 albatross, Albatross is a bird. Albatross isn't a, Albatross is a, IsA,"['bird', 'seabird', 'animal', 'hindrance', 'ship']"
 greed, Greed is a human desire. Greed isn't a human, Greed is a human, IsA,['desire']
 shirts, Shirts are clothing. Shirts aren't, Shirts are, IsA,"['clothing', 'clothes']"
 orchids, Orchids are flowers. Orchids aren't, Orchids are, IsA,"['flowers', 'plants']"
 researchers, Researchers are theorists. Researchers aren't, Researchers are, IsA,['theorists']
 coach, A coach is a kind of trainer. A coach isn't a kind of, A coach is a kind of, IsA,"['trainer', 'teacher', 'vehicle', 'wagon', 'worker', 'carriage']"
 banking, Banking is a finance. Banking isn't a, Banking is a, IsA,['finance']
 pork, Pork is a kind of meat. Pork isn't a kind of, Pork is a kind of, IsA,['meat']
 bile, Bile is an liquid. Bile isn't an, Bile is an, IsA,['liquid']
 alcohol, Alcohol is a beverage. Alcohol isn't a, Alcohol is a, IsA,"['beverage', 'liquid', 'adictive']"
 polo, Polo is sport. Polo isn't, Polo is, IsA,['sport']
 mechanic, A mechanic is a type of tradesperson. A mechanic isn't a type of, A mechanic is a type of, IsA,"['tradesperson', 'tradesman']"
 honor, Honor is a virtue. Honor isn't a, Honor is a, IsA,"['virtue', 'standing', 'righteousness']"
 nun, The nun was letter. The nun didn't be, The nun was, IsA,"['letter', 'religious', 'worker', 'woman', 'beheaded']"
 perennials, Many perennials are favorite cut plants. Many perennials aren't favorite cut, Many perennials are favorite cut, IsA,"['plants', 'flowers', 'foliage']"
 israel, Israel is a type of democracy. Israel isn't a type of, Israel is a type of, IsA,"['democracy', 'country']"
 watching, Bird watching is a popular observing. Bird watching isn't a popular, Bird watching is a popular, IsA,['observing']
 haddock, Haddock is type gadoid. Haddock isn't type, Haddock is type, IsA,"['gadoid', 'fish']"
 squash, Squash is a sport. Squash isn't a, Squash is a, IsA,"['sport', 'vegetable', 'fruit', 'vine']"
 jars, Jars are containers. Jars aren't, Jars are, IsA,['containers']
 osprey, Osprey is a bird. Osprey isn't a, Osprey is a, IsA,"['bird', 'accipitridae', 'hawk']"
 spice, Spice is seasoning. Spice isn't, Spice is, IsA,"['seasoning', 'preservative', 'software', 'flavorer']"
 tarantula," A tarantula is a large, hairy spider. A tarantula isn't a large, hairy"," A tarantula is a large, hairy", IsA,['spider']
 rifle, Rifle is a type of firearm. Rifle isn't a type of, Rifle is a type of, IsA,"['firearm', 'gun']"
 subordinate, A subordinate is a assistant. A subordinate isn't a, A subordinate is a, IsA,['assistant']
 cardinal, A cardinal is a kind of finch. A cardinal isn't a kind of, A cardinal is a kind of, IsA,"['finch', 'leader', 'grape', 'bishop', 'film', 'bird', 'red', 'number']"
 square, Square has a stremma. Square doesn't have a, Square has a, IsA,"['stremma', 'rectangle', 'shape', 'quadrilateral', 'number', 'simpleton', 'conservative', 'company', 'artifact']"
 library, Library is a kind of collection. Library isn't a kind of, Library is a kind of, IsA,"['collection', 'holding', 'room', 'library', 'archive', 'organization', 'depository', 'building']"
 fdsfgsdgfgsgsg, Fdsfgsdgfgsgsg is garbage. Fdsfgsdgfgsgsg isn't, Fdsfgsdgfgsgsg is, IsA,['garbage']
 concealer, Concealer is a type of makeup. Concealer isn't a type of, Concealer is a type of, IsA,['makeup']
 poppy, Poppy is a kind of flower. Poppy isn't a kind of, Poppy is a kind of, IsA,['flower']
 pianos, Pianos are instruments. Pianos aren't, Pianos are, IsA,"['instruments', 'furniture']"
 granite, Granite is porus. Granite isn't, Granite is, IsA,"['porus', 'batholith', 'stone', 'steadiness']"
 stable, Stable is a type of building. Stable isn't a type of, Stable is a type of, IsA,"['building', 'illness']"
 doctor, Doctor is medical scholar. Doctor isn't medical, Doctor is medical, IsA,"['scholar', 'prescriber', 'theologian', 'expert', 'person', 'medic', 'worker', 'play']"
 nissan, Nissan and toyota are brands of bank. Nissan and toyota aren't brands of, Nissan and toyota are brands of, IsA,"['bank', 'auto', 'river']"
 dock, Dock is boat landing. Dock isn't boat, Dock is boat, IsA,"['landing', 'mooring', 'enclosure', 'platform', 'herb']"
 smtp, SMTP is a type of protocol. SMTP isn't a type of, SMTP is a type of, IsA,['protocol']
 horses, Horses is a kind of quadrupeds. Horses isn't a kind of, Horses is a kind of, IsA,"['quadrupeds', 'rad', 'equines', 'noun', 'beuatiful']"
 sedan, A sedan is a kind of automobile. A sedan isn't a kind of, A sedan is a kind of, IsA,"['automobile', 'litter', 'car']"
 shrimp, A shrimp is a crustacean. A shrimp isn't a, A shrimp is a, IsA,"['crustacean', 'shellfish']"
 frogs, Frogs are amphibians. Frogs aren't, Frogs are, IsA,"['amphibians', 'disappearing', 'animals', 'play']"
 euonymus, Euonymus is a plant. Euonymus isn't a, Euonymus is a, IsA,['plant']
 mealybug, Mealybug is a insect. Mealybug isn't a, Mealybug is a, IsA,['insect']
 shoplifter, A shoplifter is a kind of criminal. A shoplifter isn't a kind of, A shoplifter is a kind of, IsA,['criminal']
 bird, Bird is a biped. Bird isn't a, Bird is a, IsA,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
 rationalization, A rationalization is an organization. A rationalization isn't an, A rationalization is an, IsA,"['organization', 'explanation', 'simplification']"
 iran, Iran is a country. Iran isn't a, Iran is a, IsA,['country']
 smooth, Smooth is a kind of album. Smooth isn't a kind of, Smooth is a kind of, IsA,"['album', 'sensation', 'accomplishment']"
 leopard, A leopard is a panther. A leopard isn't a, A leopard is a, IsA,"['panther', 'cat', 'mammal', 'feline', 'felid', 'fur', 'animal']"
 albania, Albania is a country. Albania isn't a, Albania is a, IsA,['country']
 reptiles, Some reptiles are scaly. Some reptiles aren't, Some reptiles are, IsA,"['scaly', 'lizards', 'snakes']"
 tuberculosis, Tuberculosis is a disease. Tuberculosis isn't a, Tuberculosis is a, IsA,['disease']
 codeine, Codeine is an drug. Codeine isn't an, Codeine is an, IsA,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
 pope, The pope is falliable. The pope isn't, The pope is, IsA,"['falliable', 'village', 'priest', 'bishop']"
 eggplant, An eggplant is a purple herb. An eggplant isn't a purple, An eggplant is a purple, IsA,"['herb', 'fruit', 'plant']"
 skyscrapers, Skyscrapers are buildings. Skyscrapers aren't, Skyscrapers are, IsA,['buildings']
 jar, Jar is a type of glass casing. Jar isn't a type of glass, Jar is a type of glass, IsA,"['casing', 'containerful', 'vessel']"
 luck, Luck is karma. Luck isn't, Luck is, IsA,"['karma', 'phenomenon', 'superstition']"
 courage, Courage is confidence. Courage isn't, Courage is, IsA,"['confidence', 'resolve', 'spirit']"
 actor, An actor is a type of artist. An actor isn't a type of, An actor is a type of, IsA,"['artist', 'performer', 'person', 'interpetor']"
 cars, Cars are automobiles. Cars aren't, Cars are, IsA,"['automobiles', 'oldsmobiles', 'band', 'things', 'vehicules', 'album', 'expensie.v']"
 soda, Soda is a carbonated. Soda isn't a, Soda is a, IsA,['carbonated']
 grid, A grid is hashed. A grid isn't, A grid is, IsA,"['hashed', 'electrode', 'band', 'facility', 'form']"
 engines, Engines are motors. Engines aren't, Engines are, IsA,['motors']
 earthworm, A earthworm is a animal. A earthworm isn't a, A earthworm is a, IsA,"['animal', 'oligochaete']"
 mastoid, Mastoid is a process. Mastoid isn't a, Mastoid is a, IsA,['process']
 porno, A porno is a type of book. A porno isn't a type of, A porno is a type of, IsA,"['book', 'movie', 'porn']"
 chard, Swiss chard is a type of greens. Swiss chard isn't a type of, Swiss chard is a type of, IsA,"['greens', 'beet', 'plant']"
 time, Hour is a type of time experience. Hour isn't a type of time, Hour is a type of time, IsA,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 potatoes," Swedes, carrots, potatoes and aubergines are food. Swedes, carrots, potatoes and aubergines aren't"," Swedes, carrots, potatoes and aubergines are", IsA,"['food', 'starcy', 'vegetable', 'tubers', 'legumes', 'vegetables']"
 pay, Pay is to compensate. Pay isn't to, Pay is to, IsA,"['compensate', 'payment']"
 stock, Stock is a kind of merchandise. Stock isn't a kind of, Stock is a kind of, IsA,"['merchandise', 'lumber', 'investment', 'support', 'equity', 'flower', 'stalk', 'repute', 'capital', 'handle']"
 revolver, Revolver is a type of handgun. Revolver isn't a type of, Revolver is a type of, IsA,"['handgun', 'pistol']"
 interferon, Interferon is a antiviral. Interferon isn't a, Interferon is a, IsA,"['antiviral', 'protein']"
 pay, Pay is compensate. Pay isn't, Pay is, IsA,"['compensate', 'payment']"
 yellowstone, Yellowstone is spectalular. Yellowstone isn't, Yellowstone is, IsA,['spectalular']
 sound, Sound is energy valid. Sound isn't energy, Sound is energy, IsA,"['valid', 'vibration', 'sensation', 'channel', 'happening', 'energy']"
 ebola, Situation: Ebola is a filovirus. Situation: Ebola isn't a, Situation: Ebola is a, IsA,['filovirus']
 music, Sheet music is a activity. Sheet music isn't a, Sheet music is a, IsA,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
 tetrahedron, A tetrahedron is a polyhedron. A tetrahedron isn't a, A tetrahedron is a, IsA,['polyhedron']
 paper, Paper is a material. Paper isn't a, Paper is a, IsA,"['material', 'flamable', 'medium', 'malliable', 'article', 'compilation', 'poreous']"
 distance, Distance is a size. Distance isn't a, Distance is a, IsA,"['size', 'point', 'indifference', 'region', 'spacing', 'quantity']"
 spirit, A spirit is a atmosphere. A spirit isn't a, A spirit is a, IsA,"['atmosphere', 'character', 'mob']"
 lecturer, A lecturer is a kind of human. A lecturer isn't a kind of, A lecturer is a kind of, IsA,"['human', 'teacher', 'speaker']"
 bird, Bird is a kind of biped. Bird isn't a kind of, Bird is a kind of, IsA,"['biped', 'vertebrate', 'amniote', 'animal', 'dinosaur', 'meat']"
 guinnes, Guinnes is a type of beer. Guinnes isn't a type of, Guinnes is a type of, IsA,['beer']
 licorice, Licorice is a kind of candy. Licorice isn't a kind of, Licorice is a kind of, IsA,"['candy', 'herb', 'sweet']"
 octopi, Octopi are molluscs. Octopi aren't, Octopi are, IsA,['molluscs']
 cannabis, Cannabis is a type of plant. Cannabis isn't a type of, Cannabis is a type of, IsA,"['plant', 'shrub']"
 name, Name is proper gee-bot. Name isn't proper, Name is proper, IsA,"['gee-bot', 'sanction', 'defamation', 'family', 'repute', 'Bob']"
